,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.01,0.87,0.32,0.97,0.23,0.36,0.81,0.92,0.34,0.23,0.05,0.35,0.66,0.22
encog-cs.csv,0.01,0.89,0.33,0.87,0.25,0.28,0.78,0.92,0.52,0.12,0.02,0.35,0.66,0.24
extprosys.csv,0.01,0.87,0.47,0.9,0.26,0.28,0.73,0.91,0.33,0.16,0.05,0.36,0.68,0.3
ibatisdb.csv,0.0,0.92,0.22,0.79,0.24,0.25,0.88,0.94,0.43,0.17,0.06,0.12,0.71,0.64
intact.csv,0.0,0.88,0.27,0.88,0.29,0.43,0.82,0.96,0.44,0.19,0.03,0.41,0.73,0.27
japano.csv,0.0,0.88,0.33,0.88,0.29,0.31,0.77,1.0,0.36,0.18,0.02,0.35,0.66,0.26
lockss.csv,0.04,1.0,0.55,1.0,0.38,0.14,1.0,0.93,0.55,0.35,0.07,0.31,0.74,0.35
ofbiz.csv,0.0,0.92,0.33,0.88,0.21,0.27,0.76,0.96,0.41,0.13,0.03,0.5,0.81,0.22
officefloor.csv,0.02,1.0,0.29,0.92,0.29,0.43,1.0,0.92,0.44,0.16,0.06,0.29,0.8,0.36
opennms.csv,0.03,0.8,0.33,0.82,0.46,0.33,0.76,1.0,0.37,0.23,0.03,0.31,0.68,0.17
rohxel.csv,0.02,0.86,0.28,0.98,0.26,0.46,0.86,0.94,0.44,0.33,0.05,0.43,0.67,0.34
roolo.csv,0.0,0.9,0.29,0.87,0.28,0.29,0.76,0.93,0.35,0.14,0.02,0.57,0.68,0.26
sevenupdate.csv,0.01,1.0,0.28,0.88,0.24,0.29,0.78,0.93,0.36,0.18,0.03,0.35,0.68,0.26
