,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.78,0.54,0.54,0.69,0.9,0.71,0.97,0.61,0.78,0.89,0.92,0.53
emulemorph.csv,0.95,0.97,1.0,0.45,1.0,1.0,0.81,0.99,0.93,0.98,1.01,0.89
fulguro.csv,0.91,0.89,0.71,1.0,0.72,0.82,0.6,0.82,0.74,0.64,0.62,0.62
fw4spl.csv,0.79,0.64,0.55,1.01,0.62,0.87,0.91,0.98,0.8,0.91,0.67,0.7
gnome-jabber.csv,0.69,0.64,0.66,0.66,0.64,0.91,0.88,0.43,0.83,0.77,0.71,0.64
ipfilter.csv,0.71,0.79,0.84,0.93,0.47,0.88,0.8,1.0,0.11,0.82,0.78,0.84
ipfire-wall.csv,0.7,0.72,0.76,0.77,0.37,0.79,0.96,0.86,0.48,0.58,0.56,0.64
libmesh.csv,0.71,0.93,0.82,0.89,0.87,0.49,0.68,1.0,0.96,0.83,0.73,0.93
rockbox.csv,0.87,0.78,0.61,0.69,0.6,0.85,0.7,0.74,0.96,0.97,0.67,0.4
soar.csv,0.92,1.0,0.84,1.0,1.0,1.0,0.44,1.0,0.84,0.87,1.0,1.0
tencompetence.csv,0.68,0.95,0.97,0.67,0.65,0.76,0.66,0.86,0.89,0.35,0.61,1.02
xbrlapi.csv,0.49,0.92,0.67,0.5,0.48,0.78,0.81,1.0,0.76,0.78,0.49,0.58
