,rhex.csv,kmatplot.csv,jcae.csv,applet2app.csv,mscore.csv,riff-evolve.csv,archive-crawler.csv,autowikibrowser.csv,quickfast.csv
applet2app.csv,0.38,0.77,0.49,0.63,0.46,0.67,0.64,0.66,0.67
archive-crawler.csv,0.46,0.35,0.69,0.49,0.62,0.59,0.6,0.52,0.35
autowikibrowser.csv,0.61,0.73,0.62,0.67,0.64,0.54,0.64,0.74,0.72
jcae.csv,0.1,0.39,0.79,0.53,0.35,0.31,0.66,0.63,0.3
kmatplot.csv,0.0,0.83,0.67,0.6,0.32,0.36,0.59,0.46,0.18
mscore.csv,0.63,0.59,0.24,0.45,0.7,0.6,0.47,0.64,0.58
quickfast.csv,0.5,0.66,0.52,0.57,0.64,0.42,0.09,0.4,0.77
rhex.csv,0.75,0.25,0.25,0.45,0.3,0.4,0.16,0.37,0.34
riff-evolve.csv,0.38,0.67,0.62,0.65,0.43,0.69,0.46,0.61,0.57
