,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.68,0.57,0.54,0.8,0.68,0.51,0.73,0.55,0.52,0.66,0.85
libtorrent.csv,0.48,0.44,0.39,0.57,0.38,0.4,0.45,0.56,0.38,0.33,0.42
mcmc-jags.csv,0.45,0.44,0.48,0.58,0.37,0.39,0.45,0.47,0.4,0.33,0.39
natpad.csv,0.46,0.43,0.5,0.55,0.36,0.52,0.39,0.43,0.89,0.78,0.38
nebuladevice.csv,0.86,0.88,0.86,0.5,0.5,0.61,0.89,0.0,0.59,0.88,0.0
olap-navigator.csv,0.61,0.5,0.57,0.73,0.44,0.51,0.59,0.48,0.59,0.36,0.55
pidgin.csv,0.53,0.43,0.39,0.5,0.35,0.52,0.51,0.48,0.92,0.45,0.45
salasaga.csv,0.4,0.37,0.78,0.49,0.43,0.51,0.47,0.38,0.53,0.34,0.44
sepgsql.csv,0.68,0.53,0.58,0.83,0.45,0.75,0.55,0.64,0.0,0.45,0.67
xstore.csv,0.4,0.6,0.43,0.83,0.38,0.66,0.44,0.5,0.63,0.32,0.4
xtreemfs.csv,0.46,0.48,0.42,0.56,0.38,0.43,0.46,0.58,0.7,0.36,0.45
