,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.69,0.19,0.48,0.42,0.19,0.65,0.97,0.27,0.22,0.85
gamestone.csv,0.77,1.0,0.71,0.3,0.26,0.92,0.38,0.31,0.06,1.0
gbif-providertoolkit.csv,0.73,0.0,0.85,0.33,0.92,0.6,0.4,0.36,0.4,0.83
heekscad.csv,0.99,0.16,0.57,0.37,0.2,0.74,0.39,0.23,0.23,0.86
igarden.csv,0.96,0.5,0.79,1.0,0.29,0.72,0.39,0.11,0.42,1.0
levent.csv,0.65,0.11,0.52,0.32,0.21,1.0,0.41,0.18,0.21,0.82
owlapi.csv,0.71,0.29,0.7,0.33,0.12,0.59,0.5,1.0,0.24,0.86
pnotepad.csv,0.67,0.18,0.49,0.31,0.19,0.71,0.38,0.17,0.2,1.0
quark.csv,0.88,0.17,0.62,0.46,0.3,0.0,0.0,0.22,1.0,0.91
xcsoar.csv,0.79,0.17,0.98,0.35,0.21,0.72,0.34,0.27,0.26,1.0
