,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.09,0.0,0.08,0.0,0.02,0.5,0.17,0.0,0.0,0.0,0.08
ivatamasks.csv,0.56,0.5,0.81,0.02,0.51,0.38,0.5,0.46,0.31,0.36,0.38
java-gnome.csv,0.27,0.0,0.47,0.49,0.61,0.25,0.27,0.36,0.0,0.18,0.19
orc.csv,0.44,0.0,0.0,0.0,0.51,0.88,0.28,0.12,0.31,0.0,0.25
plato.csv,0.65,1.0,0.72,0.83,0.51,0.0,0.75,0.46,0.75,0.75,0.83
rodin-b-sharp.csv,0.02,0.5,0.21,0.04,0.12,0.12,0.0,0.1,0.25,0.0,0.11
tycho.csv,0.31,0.0,0.46,0.19,0.29,0.12,0.31,0.25,0.0,0.0,0.24
umber.csv,0.0,0.0,0.11,0.26,0.05,0.25,0.23,0.25,0.25,0.0,0.09
unicase.csv,0.47,0.0,0.47,0.57,0.27,0.5,0.34,0.53,0.56,0.14,0.01
vienna-add-in.csv,0.33,1.0,0.98,0.98,0.05,0.62,0.82,0.68,0.94,1.0,0.6
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,0.99
