,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.13,0.02,0.29,0.06,0.12,0.38,0.3,0.91,0.11,0.0,0.16
ivatamasks.csv,0.68,0.65,0.51,0.97,0.51,0.52,0.6,0.59,0.58,0.69,0.55
java-gnome.csv,0.85,0.74,0.69,0.67,0.55,0.44,0.41,0.56,0.98,0.3,0.29
orc.csv,0.13,0.0,0.95,0.02,0.39,0.37,0.2,0.13,0.05,0.0,0.27
plato.csv,0.33,0.0,0.5,0.43,0.43,1.0,0.58,0.7,0.34,0.47,0.48
rodin-b-sharp.csv,0.0,0.51,0.35,0.23,0.15,0.2,0.98,0.29,0.8,0.0,0.23
tycho.csv,0.36,0.35,0.56,0.34,0.41,0.12,0.32,0.29,0.06,1.0,0.36
umber.csv,0.96,0.35,0.15,0.51,0.16,0.35,0.51,0.57,0.87,0.2,0.17
unicase.csv,0.69,0.55,0.65,0.6,0.45,0.58,0.64,0.58,0.61,0.24,0.98
vienna-add-in.csv,0.88,0.0,0.09,0.09,0.99,0.52,0.5,0.67,0.24,0.0,0.63
wpdev.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.05
