,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.9,0.47,0.47,0.58,0.79,0.47,0.56,0.4,0.6,0.5,0.67,0.56,0.35,0.65,0.57,0.5,0.8
apertium.csv,0.34,0.82,0.43,0.57,0.4,0.37,0.44,0.0,0.41,0.44,0.5,0.89,0.86,0.34,0.57,0.0,0.37
beast-mcmc.csv,0.56,0.39,0.39,0.5,0.52,0.43,0.42,0.39,0.48,0.42,0.4,0.43,0.34,0.36,0.48,0.47,0.38
cuberok.csv,0.91,0.42,0.83,0.76,0.9,0.59,0.7,0.59,0.87,0.8,0.93,0.52,0.91,0.71,0.8,0.47,0.86
icescrum.csv,0.55,0.59,0.58,0.72,0.58,0.52,0.5,0.41,0.46,0.49,0.55,0.83,0.35,0.5,0.52,0.53,0.53
ingex.csv,0.5,0.5,0.65,0.85,0.64,0.67,0.46,0.74,0.46,0.47,0.75,0.9,0.44,0.52,0.68,0.67,0.9
jbasic.csv,0.39,0.46,0.44,0.64,0.45,0.47,0.4,0.48,0.4,0.51,0.43,0.4,0.34,0.35,0.43,0.47,0.36
jgnash.csv,0.43,0.46,0.41,0.4,0.38,0.54,0.43,0.39,0.52,0.48,0.58,0.43,0.38,0.88,0.41,0.64,0.3
jrefactory.csv,0.48,0.62,0.52,0.55,0.57,0.71,0.66,0.4,0.76,0.64,0.6,0.43,0.38,0.85,0.45,0.5,0.45
jsecurity.csv,0.95,0.52,0.54,0.47,0.94,0.41,0.6,0.52,0.47,0.93,0.83,0.8,0.59,0.85,0.86,0.85,0.86
libopenmetaverse.csv,0.33,0.36,0.38,0.46,0.46,0.5,0.36,0.41,0.41,0.43,0.46,0.41,0.36,0.36,0.47,0.48,0.31
mobicents.csv,0.41,0.39,0.45,0.64,0.54,0.43,0.46,0.42,0.48,0.42,0.57,0.41,0.38,0.4,0.45,0.47,0.42
opendvr.csv,0.46,0.4,0.5,0.57,0.6,0.34,0.44,0.79,0.4,0.48,0.62,0.71,0.5,0.36,0.64,0.62,0.48
openefm.csv,0.57,0.51,0.59,0.56,0.9,0.76,0.43,0.48,0.63,0.89,0.72,0.75,0.54,0.89,0.59,0.48,0.35
power-architect.csv,0.5,0.5,0.44,0.43,0.53,0.35,0.45,0.46,0.5,0.66,0.62,0.47,0.57,0.45,0.51,0.48,0.34
sidekar.csv,0.0,0.59,0.0,0.0,0.47,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
yarp0.csv,0.39,0.44,0.56,0.49,0.55,0.49,0.52,0.43,0.67,0.46,0.42,0.52,0.36,0.37,0.48,0.44,0.73
