,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.72,0.81,0.69,0.85,0.61,0.75,0.73,0.89,0.72,0.95,0.96,0.73,0.83,0.76,0.34,0.81,0.84
apertium.csv,0.8,0.67,0.69,0.61,0.55,0.72,0.61,0.95,0.73,0.55,0.36,0.76,0.86,0.78,0.69,1.0,0.54
beast-mcmc.csv,0.33,0.59,0.87,0.55,0.69,0.65,0.62,0.85,0.67,0.52,0.88,0.88,0.63,0.8,0.65,0.78,0.73
cuberok.csv,0.75,0.83,0.91,0.71,0.8,0.82,0.8,0.42,0.59,0.81,0.86,0.91,0.82,0.85,0.65,0.93,0.91
icescrum.csv,0.41,0.58,0.72,0.68,0.58,0.7,0.6,0.59,0.61,0.53,0.55,0.88,0.55,0.62,0.63,0.85,0.31
ingex.csv,0.69,0.87,0.72,0.85,0.75,0.79,0.81,0.92,0.9,0.95,0.65,0.77,0.48,0.87,0.67,0.66,0.7
jbasic.csv,0.69,0.59,0.96,0.64,0.69,0.79,0.77,0.57,0.71,0.43,0.93,0.7,0.73,1.0,0.7,0.91,0.79
jgnash.csv,0.65,0.52,0.74,0.45,0.61,0.74,0.64,0.7,0.37,0.77,0.71,0.64,0.62,0.87,0.67,0.83,0.91
jrefactory.csv,0.93,0.79,0.47,0.81,0.81,0.86,0.75,0.75,0.74,0.77,0.81,0.66,0.74,0.81,0.66,0.73,0.75
jsecurity.csv,0.71,0.44,0.85,0.37,0.8,0.59,0.66,0.79,0.74,0.83,0.85,0.83,0.7,0.78,0.81,0.84,0.8
libopenmetaverse.csv,1.0,0.99,0.97,1.0,0.92,0.48,1.0,0.9,0.99,1.0,0.67,0.82,0.89,0.95,0.72,0.81,0.97
mobicents.csv,0.54,0.52,0.8,0.64,0.49,0.85,0.46,0.76,0.54,0.76,0.59,0.85,0.8,0.76,0.71,0.81,0.69
opendvr.csv,0.51,0.53,0.87,0.55,0.57,1.0,0.54,0.71,0.67,0.57,0.6,0.73,0.6,0.66,0.74,0.44,0.52
openefm.csv,0.61,0.42,0.88,0.61,0.86,0.78,0.73,0.68,0.64,0.92,0.5,0.81,0.71,0.83,0.63,0.73,0.63
power-architect.csv,0.67,0.58,0.78,0.63,0.6,0.97,0.73,0.78,0.78,0.84,0.75,0.86,0.84,0.26,0.89,0.91,0.94
sidekar.csv,1.0,0.64,1.0,1.0,0.4,1.0,1.0,0.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0
yarp0.csv,0.8,0.76,0.76,0.61,0.56,0.76,0.53,0.8,0.78,0.92,0.54,0.34,0.62,0.93,0.61,0.81,0.62
