,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.41,0.4,0.4,0.44,0.38,0.53,0.95,0.41,0.51,0.55,0.46,0.59,0.57,0.33,0.51
cornerstone.csv,0.49,0.39,0.38,0.59,0.39,0.46,0.53,0.39,0.42,0.55,0.45,0.57,0.37,0.47,0.68
esmf.csv,0.46,0.82,0.64,0.49,0.42,0.34,0.51,0.87,0.47,0.45,0.44,0.6,0.51,0.5,0.43
frogatto.csv,0.4,0.4,0.36,0.4,0.36,0.36,0.54,0.4,0.45,0.59,0.35,0.42,0.49,0.42,0.37
gretl.csv,0.41,0.41,0.36,0.4,0.37,0.32,0.41,0.39,0.44,0.39,0.36,0.43,0.4,0.43,0.37
kindb.csv,0.37,0.36,0.29,0.39,0.33,0.31,0.47,0.37,0.31,0.7,0.33,0.42,0.32,0.38,0.41
libtorrent.csv,0.42,0.41,0.35,0.37,0.36,0.33,0.41,0.4,0.4,0.36,0.37,0.42,0.39,0.36,0.34
mia.csv,0.79,0.85,0.91,0.99,0.41,0.68,0.81,0.94,0.46,0.39,0.72,0.74,0.93,0.44,0.95
open-beos.csv,0.48,0.49,0.43,0.58,0.43,0.38,0.47,0.42,0.49,0.55,0.47,0.68,0.39,0.47,0.64
pidgin.csv,0.42,0.37,0.33,0.42,0.39,0.42,0.43,0.39,0.37,0.64,0.38,0.41,0.4,0.39,0.38
quantlib.csv,0.65,0.62,0.6,0.98,0.67,0.83,0.44,0.89,0.57,0.0,0.58,0.54,0.6,0.43,0.92
riff-evolve.csv,0.43,0.45,0.36,0.46,0.35,0.37,0.49,0.39,0.32,0.42,0.39,0.56,0.36,0.35,0.44
tokratan.csv,0.5,0.68,0.86,0.53,0.39,0.67,0.93,0.47,0.47,0.44,0.44,0.91,0.8,0.45,0.9
upp-mirror.csv,0.57,0.57,0.45,0.65,0.49,0.61,0.63,0.46,0.52,0.93,0.48,0.74,0.53,0.47,0.69
wxcrp.csv,0.65,0.65,0.93,0.98,0.56,0.52,0.73,0.69,0.44,0.0,0.61,0.7,0.86,0.35,0.91
