,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.64,0.6,0.52,0.51,0.61,0.44,0.31,0.54,0.43,1.0,0.55,0.49,0.43,0.73,0.59
cornerstone.csv,0.54,0.61,0.58,0.51,0.67,0.98,0.63,0.65,0.57,0.43,0.58,0.3,0.68,0.65,0.61
esmf.csv,0.53,1.0,0.36,0.58,0.58,0.24,0.59,0.32,0.34,0.29,0.62,0.62,0.53,0.23,0.5
frogatto.csv,0.66,0.7,0.64,0.66,0.66,0.57,0.67,0.21,0.65,0.44,0.37,0.0,0.98,0.24,0.54
gretl.csv,0.21,0.62,0.35,0.24,0.56,0.24,0.05,0.57,0.99,0.5,0.67,0.51,0.62,0.59,0.47
kindb.csv,0.76,0.65,0.62,0.61,0.75,0.68,0.73,0.48,0.67,0.35,0.7,0.53,0.68,1.0,0.54
libtorrent.csv,0.38,0.57,0.4,0.61,0.62,0.33,0.33,0.21,0.61,0.69,1.0,0.59,0.59,0.73,0.48
mia.csv,0.44,0.43,0.37,0.33,0.13,0.43,0.36,1.0,0.0,0.0,0.35,0.49,0.29,0.0,0.05
open-beos.csv,0.64,0.47,0.67,1.0,0.56,0.48,0.51,0.67,0.52,0.67,0.55,0.46,0.59,0.65,0.36
pidgin.csv,0.66,0.76,0.59,0.66,0.99,0.59,0.66,0.59,0.62,0.48,0.65,0.58,0.78,0.73,0.69
quantlib.csv,0.47,0.37,0.43,0.21,0.33,0.31,0.32,0.61,0.28,0.06,0.41,0.47,0.48,0.46,1.0
riff-evolve.csv,0.66,0.56,0.66,0.66,0.74,0.54,0.76,0.6,0.68,0.52,0.57,0.98,0.62,0.74,0.36
tokratan.csv,0.55,0.44,0.06,0.52,0.67,0.39,0.94,0.65,0.52,0.49,0.64,0.25,0.17,0.67,0.29
upp-mirror.csv,0.63,0.52,1.0,0.54,0.57,0.39,0.56,0.63,0.57,0.23,0.54,0.51,0.65,0.53,0.37
wxcrp.csv,1.0,0.38,0.2,0.3,0.42,0.5,0.57,0.6,0.41,0.0,0.38,0.52,0.2,0.52,0.15
