,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.63,1.0,0.82,0.23,0.95,0.4,0.67,0.5,0.73,0.73,0.51,0.05,0.69,1.0,0.86
arianne.csv,0.99,1.0,0.72,0.12,0.48,0.12,0.48,0.26,0.69,0.53,0.42,0.05,0.36,0.89,0.6
auber.csv,0.55,0.98,0.82,0.15,0.35,0.25,0.67,0.26,0.82,1.0,0.53,0.04,0.56,0.77,0.59
bl-toolkit.csv,0.61,0.96,1.0,0.06,0.44,0.31,0.48,0.43,0.78,0.65,0.44,0.06,0.44,0.8,0.64
growl-for-windows.csv,0.49,0.97,0.62,0.25,0.43,0.24,1.0,0.32,0.8,0.75,0.54,0.06,0.42,0.75,1.0
keyczar.csv,0.62,1.0,0.74,0.19,0.42,0.11,0.62,0.26,0.67,0.57,0.43,0.02,0.5,0.98,0.55
kml.csv,0.62,0.95,0.78,0.17,0.39,0.27,1.0,0.39,0.81,0.58,0.44,0.08,0.75,0.86,0.79
knowledge.csv,0.55,1.0,0.72,0.12,0.35,0.18,0.5,0.3,0.59,0.54,0.43,0.06,0.37,0.75,0.62
les-indemodables.csv,0.54,0.97,0.67,0.18,0.5,0.22,0.61,0.45,0.87,0.53,0.59,0.07,1.0,0.92,0.79
lportal.csv,0.46,0.8,0.48,0.0,0.1,0.0,0.22,0.27,0.38,0.0,0.42,0.99,0.24,0.5,0.65
lufa-lib.csv,0.47,0.93,0.7,0.09,0.37,0.3,0.54,0.42,0.67,0.5,0.99,0.09,0.43,1.0,0.76
micomt.csv,0.51,1.0,0.88,0.08,0.44,1.0,1.0,0.39,0.86,0.72,0.77,0.06,0.69,1.0,0.93
sigil.csv,0.72,0.96,0.83,0.27,0.5,0.44,0.81,0.39,1.0,0.66,0.53,0.07,0.4,1.0,0.7
ultimairis.csv,0.48,0.93,0.7,0.07,0.41,0.23,0.42,1.0,0.74,0.59,0.44,0.04,0.37,0.86,0.71
voms.csv,0.6,1.0,0.75,0.9,0.23,0.11,0.2,0.41,0.53,0.45,0.88,0.11,0.29,1.0,0.0
