,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.78,0.81,0.73,0.68,0.02,0.85,0.68,0.92,0.8,0.84,0.75,0.75,0.71,0.9,0.84
arianne.csv,0.03,0.76,0.68,0.75,0.55,0.88,0.8,0.81,0.8,0.78,0.96,0.66,0.72,0.68,0.86
auber.csv,0.77,0.41,0.48,0.61,0.66,0.58,0.55,0.79,0.38,0.0,0.56,0.72,0.56,0.7,0.81
bl-toolkit.csv,0.6,0.46,0.0,0.92,0.51,0.46,0.82,0.69,0.38,0.55,0.71,0.58,0.6,0.84,0.8
growl-for-windows.csv,0.75,0.57,0.81,0.78,0.5,0.59,0.89,0.79,0.56,0.74,0.9,0.58,0.62,0.8,0.0
keyczar.csv,0.8,0.48,0.68,0.61,0.52,0.89,0.79,0.85,0.61,0.7,0.82,0.94,0.95,0.07,0.86
kml.csv,0.67,0.56,0.68,0.7,0.63,0.78,0.0,0.73,0.53,0.68,0.7,0.46,0.45,0.64,0.71
knowledge.csv,0.66,0.0,0.86,0.92,0.78,1.0,0.83,0.89,0.97,0.95,0.98,0.6,0.97,1.0,0.79
les-indemodables.csv,0.74,0.52,0.76,0.7,0.4,0.65,0.56,0.62,0.39,0.73,0.65,0.49,0.03,0.56,0.49
lportal.csv,0.87,1.09,1.03,1.0,0.98,1.01,1.11,0.83,0.93,1.0,0.74,0.07,0.87,0.96,0.83
lufa-lib.csv,0.76,0.71,0.72,0.82,0.62,0.47,0.63,0.6,0.7,0.79,0.04,0.47,0.6,0.77,0.58
micomt.csv,0.72,0.69,0.86,0.85,0.81,0.0,0.94,0.77,0.64,0.68,0.84,0.55,0.43,0.98,0.61
sigil.csv,0.71,0.48,0.55,0.68,0.43,0.49,0.54,0.58,0.0,0.54,0.78,0.52,0.66,0.88,0.82
ultimairis.csv,0.8,0.82,0.77,0.95,0.59,0.6,0.79,0.06,0.44,0.8,0.74,0.92,0.7,0.64,0.63
voms.csv,0.97,0.92,0.94,0.02,0.88,0.93,0.97,0.86,0.87,0.88,0.88,0.95,0.83,0.98,1.0
