,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.24,0.15,0.33,0.85,0.97,0.71,0.21,0.0,0.1,0.47,0.19,0.12,0.12,0.54,0.12,0.0
amygdala.csv,0.49,0.3,0.37,0.01,0.39,0.19,0.79,0.38,0.36,0.97,0.25,0.12,0.24,0.31,0.09,0.2
cme.csv,0.06,0.0,0.04,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,1.0
dspace-gsoc.csv,0.13,0.32,0.3,0.01,0.09,0.29,0.0,0.15,0.21,0.21,0.97,0.38,0.35,0.54,0.33,0.8
hydrate.csv,0.15,0.36,0.26,0.09,0.09,0.24,0.14,0.23,0.15,0.24,0.31,0.75,0.17,0.31,0.91,1.0
ivef-sdk.csv,0.77,0.56,0.59,1.0,0.24,0.76,0.71,0.0,0.74,0.66,0.08,0.0,0.57,0.2,0.03,0.8
jmri.csv,0.35,0.96,0.56,0.12,0.3,0.19,0.29,0.31,0.31,0.61,0.67,0.5,0.44,0.66,0.48,0.8
kdenlive.csv,1.0,0.57,0.37,0.16,0.61,0.48,0.64,0.92,0.69,0.5,0.75,0.88,0.49,0.34,0.67,1.0
motu.csv,0.04,0.33,0.07,0.01,0.03,0.14,0.0,1.0,0.23,0.0,0.08,0.25,0.1,0.09,0.3,0.0
plplot.csv,0.56,0.53,0.22,0.04,0.39,0.95,0.43,0.77,0.36,0.42,0.53,0.75,0.43,0.29,0.64,0.6
projectfactory.csv,0.14,0.25,0.19,0.45,0.21,0.29,0.64,0.62,0.95,0.29,0.33,0.75,0.32,0.57,0.58,0.2
runuomondains.csv,0.15,0.01,0.04,0.0,0.0,0.1,0.07,0.08,0.0,0.03,0.14,0.88,0.01,0.03,0.09,0.0
somap.csv,1.0,0.91,0.96,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.99,1.0,1.0,1.0
taverna.csv,0.01,0.11,0.93,0.0,0.3,0.1,0.0,0.0,0.18,0.08,0.31,0.0,0.14,0.09,0.33,0.8
tigermud.csv,0.68,0.84,0.93,0.58,0.94,0.76,0.71,0.54,0.44,0.87,0.81,1.0,0.75,0.97,0.73,1.0
wishmaster.csv,0.21,0.55,0.52,0.06,0.06,0.29,1.0,0.77,0.82,0.37,0.06,0.88,0.49,0.54,0.58,0.2
