,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.56,0.22,0.21,0.67,0.0,0.89,0.34,0.15,0.05,0.66,0.26,0.47,0.67,0.67,0.26,0.15
amygdala.csv,0.31,0.21,0.45,0.13,0.31,0.16,0.49,0.35,0.28,0.0,0.26,0.22,0.33,0.14,0.16,0.17
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dspace-gsoc.csv,0.08,0.31,0.3,0.4,0.06,0.28,0.05,0.15,0.28,0.09,0.05,0.36,0.67,0.29,0.37,0.35
hydrate.csv,0.05,0.26,0.26,0.53,0.11,0.07,0.18,0.13,0.16,0.2,0.42,0.37,0.17,0.14,0.05,0.46
ivef-sdk.csv,0.56,0.54,0.7,0.0,0.66,0.95,0.75,0.07,0.72,0.43,0.0,0.03,1.0,0.48,0.0,0.58
jmri.csv,0.13,0.01,0.6,0.93,0.46,0.25,0.26,0.52,0.4,0.46,0.53,0.22,0.67,0.48,0.42,0.48
kdenlive.csv,0.0,0.57,0.38,0.93,0.63,0.19,0.48,0.65,0.67,0.37,0.68,0.71,0.67,0.33,0.74,0.65
motu.csv,0.05,0.23,0.17,0.0,0.03,0.04,0.1,0.0,0.16,0.09,0.21,0.1,0.5,0.19,0.05,0.17
plplot.csv,0.36,0.45,0.3,0.33,0.51,0.0,0.38,0.52,0.26,0.26,0.53,0.42,0.83,0.43,0.47,0.48
projectfactory.csv,0.13,0.19,0.19,0.43,0.11,0.39,0.7,0.48,0.0,0.29,0.11,0.41,0.33,0.33,0.26,0.23
runuomondains.csv,0.13,0.01,0.08,0.0,0.0,0.0,0.16,0.13,0.02,0.03,0.11,0.0,0.0,0.1,0.11,0.08
somap.csv,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.0,0.95,1.0,0.98
taverna.csv,0.03,0.16,0.0,0.03,0.17,0.11,0.07,0.24,0.23,0.06,0.16,0.2,0.33,0.14,0.16,0.1
tigermud.csv,0.46,0.76,0.79,0.1,0.8,0.7,0.7,0.7,0.47,0.71,0.95,0.9,0.67,0.14,0.58,0.83
wishmaster.csv,0.26,0.52,0.36,0.03,0.31,0.11,0.0,0.65,0.77,0.43,0.16,0.68,0.33,0.95,0.68,0.5
