,atunes.csv,gpsmid.csv,emftriple.csv,columba.csv
atunes.csv,6.0,2.0,12.0,0.0
columba.csv,71.0,3.0,150.0,1.0
emftriple.csv,16.0,1.0,3.0,9.0
gpsmid.csv,175.0,1.0,24.0,4.0
