,atunes.csv,gpsmid.csv,emftriple.csv,columba.csv
atunes.csv,0.77,0.38,0.21,0.66
columba.csv,0.78,0.66,0.0,0.67
emftriple.csv,0.11,0.19,0.97,0.27
gpsmid.csv,0.68,0.75,0.55,0.67
