,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.33,0.6,0.23,0.98,0.56,0.65,0.26,0.27,0.6,0.2,0.55,0.52
gmerlin.csv,0.33,0.46,0.22,0.35,0.39,0.7,0.87,0.32,0.24,0.39,0.33,0.35
google-gears.csv,0.68,0.64,0.58,0.58,0.6,0.34,0.56,0.99,0.65,0.56,0.44,0.53
gstreamer.csv,0.58,0.69,0.64,0.45,0.6,0.68,0.6,0.55,0.98,0.46,0.55,0.69
lportal.csv,0.49,0.06,0.36,0.43,0.27,0.92,0.41,0.37,0.33,0.43,0.16,0.05
metacosm.csv,0.49,0.59,0.37,0.15,0.29,0.37,0.32,0.31,0.21,0.2,0.32,1.0
mplayer-ce.csv,0.65,0.59,0.56,0.63,0.56,0.53,0.55,0.54,0.45,0.48,0.96,0.41
openmeetings.csv,0.34,0.93,0.33,0.44,0.25,0.48,0.07,0.22,0.39,0.26,0.57,0.38
qgis.csv,0.42,0.63,0.98,0.48,0.43,0.59,0.26,0.51,0.48,0.46,0.57,0.55
skia.csv,0.46,0.7,0.1,0.16,0.39,0.37,0.26,0.29,0.35,1.0,0.24,0.09
wxcrp.csv,0.89,0.53,0.38,0.61,0.52,0.53,0.29,0.34,0.38,0.47,0.53,0.49
yafdotnet.csv,0.56,0.52,0.5,0.54,0.96,0.58,0.49,0.64,0.55,0.56,0.53,0.47
