,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.0,5.0,0.0,0.0,4.0,31.0,0.0,0.0,3.0,4.0,0.0,3.0
gmerlin.csv,8.0,12.0,4.0,0.0,5.0,115.0,0.0,0.0,0.0,4.0,1.0,2.0
google-gears.csv,0.0,20.0,0.0,0.0,6.0,137.0,3.0,0.0,2.0,3.0,0.0,0.0
gstreamer.csv,3.0,14.0,0.0,0.0,1.0,23.0,4.0,0.0,0.0,3.0,0.0,3.0
lportal.csv,0.0,1.0,0.0,1.0,11.0,0.0,8.0,0.0,3.0,5.0,0.0,3.0
metacosm.csv,3.0,3.0,0.0,1.0,0.0,48.0,0.0,0.0,2.0,2.0,0.0,0.0
mplayer-ce.csv,0.0,25.0,0.0,0.0,8.0,277.0,4.0,0.0,4.0,4.0,0.0,1.0
openmeetings.csv,1.0,0.0,2.0,0.0,1.0,29.0,2.0,0.0,0.0,4.0,0.0,1.0
qgis.csv,4.0,6.0,0.0,0.0,0.0,156.0,3.0,0.0,2.0,1.0,0.0,2.0
skia.csv,6.0,9.0,1.0,0.0,1.0,40.0,3.0,1.0,0.0,0.0,3.0,2.0
wxcrp.csv,0.0,44.0,0.0,0.0,2.0,168.0,0.0,0.0,2.0,2.0,0.0,0.0
yafdotnet.csv,11.0,18.0,0.0,0.0,0.0,196.0,8.0,1.0,4.0,10.0,5.0,2.0
