,f1,g,recall,precision,pf,wins
awemud.csv,0.45,0.5900000000000001,0.575,0.43,0.42,8
customwars.csv,0.44,0.515,0.475,0.495,0.265,11
firebreath.csv,0.45999999999999996,0.59,0.63,0.41000000000000003,0.36,12
gss.csv,0.51,0.6,0.865,0.38,0.715,9
irplus.csv,0.46499999999999997,0.5549999999999999,0.56,0.485,0.325,13
kwave.csv,0.435,0.485,0.795,0.345,0.665,1
liferea.csv,0.425,0.405,0.365,0.42,0.215,2
plearn.csv,0.435,0.495,0.45999999999999996,0.46499999999999997,0.29000000000000004,6
psrchive.csv,0.41500000000000004,0.525,0.5,0.48,0.26,10
qcad2.csv,0.45999999999999996,0.49,0.6399999999999999,0.41000000000000003,0.49,4
tzod.csv,0.44,0.565,0.58,0.4,0.46,5
wxcode.csv,0.43,0.41,0.36,0.555,0.165,7
xinity.csv,0.37,0.345,0.45,0.29000000000000004,0.595,0
xmoto.csv,0.385,0.49,0.515,0.415,0.315,3
