,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.32,0.43,0.46,0.49,0.66,0.3,0.18,0.28,0.62,0.43,0.41,0.58,0.16,0.15
customwars.csv,0.29,0.27,0.19,0.32,0.09,0.29,0.22,0.16,0.28,0.18,0.26,0.81,0.27,0.1
firebreath.csv,0.5,0.3,0.33,0.29,0.82,0.12,0.39,0.46,0.72,0.73,0.21,0.31,0.25,0.55
gss.csv,0.74,0.7,0.77,0.69,0.75,0.73,0.45,0.4,0.93,0.91,0.63,0.96,0.66,0.25
irplus.csv,0.28,0.37,0.33,0.36,0.11,0.45,0.32,0.22,0.47,0.39,0.14,0.81,0.2,0.0
kwave.csv,0.68,0.63,0.69,0.63,1.0,0.27,0.32,0.65,0.88,0.91,0.89,0.85,0.5,0.3
liferea.csv,0.52,0.2,0.17,0.47,0.3,0.18,0.22,0.52,0.21,0.27,0.14,0.46,0.2,0.15
plearn.csv,0.27,0.47,0.23,0.32,0.14,0.0,0.12,0.31,0.59,0.27,0.43,0.69,0.14,0.7
psrchive.csv,0.36,0.37,0.12,0.17,0.7,0.18,0.33,0.33,0.27,0.14,0.25,0.46,0.14,0.15
qcad2.csv,0.31,0.67,0.42,0.56,0.82,0.23,0.41,0.31,0.84,0.89,0.37,0.85,0.32,0.9
tzod.csv,0.49,0.17,0.35,0.48,0.57,0.39,0.46,0.49,0.42,0.27,0.46,0.77,0.57,0.2
wxcode.csv,0.25,0.17,0.0,0.17,0.25,0.11,0.15,0.19,0.14,0.16,0.17,0.58,0.14,0.05
xinity.csv,0.59,0.6,0.73,0.35,0.98,0.16,0.4,0.69,0.25,0.39,0.82,0.35,0.82,0.95
xmoto.csv,0.34,0.17,0.27,0.31,0.93,0.09,0.67,0.3,0.39,0.32,0.51,0.58,0.27,0.05
