,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.33,0.41,0.95,0.5,0.57,0.45,0.77,0.54,0.67,0.37,0.75,0.91,0.63
avisynth2.csv,0.0,0.0,0.0,0.5,0.0,0.0,0.02,0.0,1.0,0.01,0.0,0.0,0.0
beast-mcmc.csv,0.92,0.29,0.22,1.0,0.22,0.9,0.35,0.88,1.0,0.32,0.24,0.45,0.81
dataobjectsdotnet.csv,0.38,0.61,0.42,0.5,0.09,0.46,0.48,0.42,1.0,0.97,0.3,0.41,0.16
exist.csv,0.58,0.41,0.12,0.0,0.26,0.98,0.45,0.33,0.33,0.29,0.51,0.0,0.14
foursquared.csv,0.35,0.12,0.05,0.0,0.09,0.14,0.17,0.96,0.0,0.21,0.04,0.14,0.17
jaxlib.csv,0.03,0.04,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01
jrefactory.csv,0.48,0.98,0.65,0.5,0.7,0.39,0.35,0.54,0.67,0.54,0.41,0.68,0.51
nodal.csv,0.24,0.29,0.28,0.0,0.96,0.34,0.4,0.33,0.33,0.42,0.1,0.32,0.1
opendvr.csv,0.67,0.43,0.65,1.0,0.83,0.63,0.75,0.83,1.0,0.79,0.27,0.95,0.51
pokenetonline.csv,0.79,0.63,0.38,1.0,0.52,0.92,0.98,1.0,1.0,0.49,0.6,0.5,0.56
simplewebservices.csv,0.7,0.65,0.17,0.0,0.7,0.79,0.58,0.83,0.33,0.67,1.0,0.36,0.57
uface.csv,0.94,0.55,0.92,0.5,0.78,0.87,0.92,0.96,1.0,0.65,0.23,0.86,0.99
