,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.37,0.43,0.96,0.49,0.55,0.45,0.65,0.55,0.45,0.4,0.63,0.6,0.64
avisynth2.csv,0.0,0.0,0.0,0.56,0.0,0.0,0.02,0.0,1.0,0.01,0.0,0.0,0.0
beast-mcmc.csv,0.93,0.33,0.26,0.65,0.26,0.66,0.4,0.6,0.88,0.36,0.28,0.48,0.59
dataobjectsdotnet.csv,0.43,0.58,0.43,0.52,0.11,0.47,0.51,0.46,0.77,0.97,0.34,0.42,0.19
exist.csv,0.6,0.43,0.14,0.0,0.3,0.98,0.49,0.36,0.37,0.33,0.54,0.0,0.17
foursquared.csv,0.4,0.14,0.06,0.0,0.11,0.17,0.2,0.97,0.0,0.25,0.05,0.17,0.2
jaxlib.csv,0.04,0.05,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01
jrefactory.csv,0.5,0.98,0.59,0.45,0.57,0.42,0.38,0.53,0.59,0.56,0.45,0.43,0.38
nodal.csv,0.28,0.33,0.32,0.0,0.97,0.36,0.44,0.37,0.37,0.46,0.12,0.36,0.12
opendvr.csv,0.54,0.46,0.6,0.3,0.2,0.6,0.37,0.53,0.78,0.5,0.31,0.96,0.48
pokenetonline.csv,0.71,0.51,0.39,0.69,0.49,0.69,0.98,0.75,0.7,0.5,0.6,0.52,0.56
simplewebservices.csv,0.65,0.62,0.2,0.0,0.67,0.59,0.59,0.6,0.35,0.63,1.0,0.39,0.54
uface.csv,0.42,0.49,0.0,0.28,0.48,0.62,0.53,0.5,0.24,0.51,0.27,0.56,0.99
