,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,91.0,3.0,2.0,69.0,2.0,2.0,22.0,0.0,132.0,2.0,0.0,1.0,0.0,91.0,3.0,118.0
fontforge.csv,1.0,0.0,1.0,0.0,2.0,4.0,51.0,0.0,6.0,0.0,1.0,5.0,0.0,5.0,19.0,4.0
glas.csv,0.0,4.0,1.0,4.0,1.0,11.0,33.0,10.0,11.0,0.0,2.0,20.0,0.0,3.0,5.0,2.0
hannosset.csv,1.0,5.0,0.0,0.0,2.0,12.0,52.0,1.0,17.0,0.0,0.0,5.0,0.0,4.0,6.0,7.0
hatari.csv,0.0,1.0,0.0,0.0,2.0,3.0,43.0,12.0,26.0,0.0,0.0,8.0,1.0,5.0,15.0,5.0
jaolt.csv,0.0,2.0,0.0,5.0,0.0,1.0,10.0,7.0,5.0,78.0,3.0,74.0,1.0,0.0,13.0,1.0
ltp.csv,0.0,1.0,0.0,0.0,1.0,6.0,52.0,1.0,6.0,0.0,1.0,7.0,1.0,2.0,19.0,3.0
mia.csv,0.0,0.0,2.0,0.0,0.0,0.0,30.0,6.0,15.0,0.0,0.0,9.0,0.0,1.0,0.0,2.0
net-snmp.csv,1.0,0.0,0.0,1.0,0.0,9.0,19.0,1.0,3.0,0.0,1.0,7.0,1.0,1.0,3.0,1.0
opde.csv,1.0,10.0,1.0,0.0,2.0,3.0,25.0,0.0,4.0,78.0,0.0,8.0,1.0,0.0,18.0,8.0
oppna-program-hsatools.csv,0.0,0.0,1.0,0.0,0.0,0.0,43.0,14.0,22.0,0.0,0.0,8.0,1.0,5.0,5.0,8.0
powerfolder-.csv,0.0,4.0,0.0,6.0,0.0,5.0,13.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,6.0
qlc.csv,91.0,0.0,64.0,0.0,0.0,3.0,13.0,54.0,0.0,0.0,0.0,16.0,0.0,7.0,10.0,6.0
quantlib.csv,1.0,1.0,0.0,69.0,2.0,11.0,52.0,1.0,132.0,0.0,1.0,9.0,1.0,91.0,74.0,6.0
tcl.csv,0.0,1.0,0.0,0.0,0.0,14.0,52.0,54.0,21.0,0.0,2.0,8.0,1.0,6.0,22.0,4.0
