,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,1.0,0.81,1.0,0.4,0.74,1.0,0.99,0.63,0.68,0.88
ffigo.csv,0.52,0.83,0.96,0.55,0.73,0.86,0.85,1.02,0.39,0.68
foursquared.csv,1.0,0.61,0.83,0.8,0.25,0.92,0.98,1.0,1.0,1.0
gebr.csv,0.82,0.94,0.35,0.93,1.0,0.64,0.77,0.97,0.85,1.0
ildjit.csv,0.34,0.68,0.77,0.65,0.9,0.6,0.75,1.03,0.66,0.91
jfreereport.csv,0.95,0.59,0.83,0.46,0.54,0.64,0.68,0.88,0.64,0.7
kml.csv,0.9,0.99,0.51,0.89,1.0,0.35,0.66,0.9,0.76,0.92
ng4j.csv,0.64,0.6,0.64,0.58,0.55,0.71,0.56,1.01,0.65,0.26
pcsx2.csv,0.95,0.51,0.44,0.87,0.8,0.44,0.43,1.0,0.84,0.5
wxjs.csv,1.0,0.95,1.0,1.0,1.0,0.95,0.97,0.19,1.0,1.0
