,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,0.18,0.19,0.19,0.9,1.0,0.57,0.87
clamav.csv,0.19,0.09,0.26,0.79,0.67,0.4,0.79
k3b.csv,0.21,0.1,0.31,0.81,0.62,0.37,0.79
kindb.csv,0.26,0.17,0.4,0.76,1.0,0.42,0.94
pclasses.csv,0.44,0.0,0.0,0.33,0.5,0.23,0.57
re2c.csv,0.18,0.86,1.0,0.65,0.5,0.14,1.0
thrust.csv,0.0,0.15,0.58,0.7,0.36,0.26,0.92
