,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.46,0.47,0.5,0.66,0.53,0.85,0.89,0.52,0.69,0.56,0.53,0.96,0.6,0.3,0.83
cornerstone.csv,0.72,0.65,0.95,0.43,0.54,0.46,0.94,0.67,0.56,0.55,0.51,0.79,0.67,0.52,0.82
esmf.csv,0.42,0.96,0.55,0.98,0.59,0.41,0.55,0.6,0.58,0.67,0.67,0.66,0.44,0.54,0.6
frogatto.csv,0.46,0.39,0.39,0.46,0.34,0.37,0.54,0.36,0.44,0.41,0.39,0.42,0.47,0.39,0.5
gretl.csv,0.45,0.46,0.37,0.43,0.38,0.33,0.42,0.48,0.44,0.42,0.42,0.44,0.45,0.46,0.42
kindb.csv,0.45,0.43,0.36,0.52,0.34,0.38,0.62,0.37,0.34,0.8,0.39,0.55,0.39,0.36,0.52
libtorrent.csv,0.44,0.44,0.37,0.4,0.36,0.33,0.4,0.41,0.38,0.4,0.37,0.37,0.41,0.37,0.37
mia.csv,0.94,0.94,0.93,0.97,0.44,0.41,0.6,0.94,0.54,0.4,0.95,0.87,0.89,0.61,0.75
open-beos.csv,0.55,0.58,0.42,0.59,0.68,0.38,0.51,0.43,0.56,0.8,0.43,0.6,0.43,0.53,0.49
pidgin.csv,0.47,0.43,0.38,0.44,0.38,0.4,0.47,0.44,0.37,0.83,0.42,0.42,0.47,0.4,0.47
quantlib.csv,0.5,0.65,0.57,0.75,0.65,0.56,0.46,0.61,0.78,0.0,0.76,0.67,0.61,0.67,0.95
riff-evolve.csv,0.58,0.52,0.45,0.53,0.43,0.5,0.57,0.54,0.42,0.48,0.49,0.56,0.48,0.64,0.75
tokratan.csv,0.95,0.92,0.95,0.98,0.0,0.64,0.93,0.68,0.0,0.0,0.95,0.97,0.83,0.0,0.85
upp-mirror.csv,0.78,0.56,0.46,0.61,0.93,0.93,0.75,0.93,0.84,0.0,0.7,0.95,0.67,0.67,0.7
wxcrp.csv,0.66,0.87,0.62,0.98,0.55,0.83,0.82,0.84,0.78,0.0,0.94,0.98,0.7,0.86,0.8
