,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.75,0.79,1.0,0.68,0.64,0.96,0.78,0.0,0.82,1.01,1.0,0.95,0.84,0.96,0.4,0.73,0.9,0.94
arsenal-1.csv,0.94,0.73,0.89,0.73,0.83,0.05,0.81,0.75,0.72,1.11,0.61,0.82,0.75,0.67,0.51,0.76,0.72,0.78
atomsite.csv,0.98,0.65,0.5,0.71,0.05,0.87,0.58,0.62,0.66,0.72,0.65,0.92,0.85,0.66,0.67,0.71,1.13,0.73
barracudamvc.csv,0.95,0.05,1.0,0.66,0.98,0.61,0.73,0.88,0.8,0.84,0.96,0.79,0.77,0.88,0.73,0.91,1.04,1.0
bionote.csv,0.97,0.8,0.8,0.96,0.86,0.97,0.95,0.91,0.94,1.0,1.0,1.0,0.99,1.0,0.12,0.93,0.9,0.88
bulmages.csv,0.79,0.82,0.87,1.0,0.92,0.93,0.98,0.93,1.0,1.0,0.91,0.1,0.95,0.63,1.0,0.68,0.88,0.93
fm-classic.csv,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.01,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.98
hazelcast.csv,1.0,1.01,0.47,0.94,0.77,0.73,0.02,0.81,0.9,0.97,0.65,0.97,1.0,0.97,0.93,0.75,0.09,0.83
jppf-project.csv,1.0,0.91,0.66,0.92,0.96,0.88,0.62,0.79,0.8,1.0,0.77,1.0,0.0,0.89,0.88,0.97,0.34,0.87
megasquirtavr.csv,1.0,0.96,0.0,1.0,1.0,0.87,0.7,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87,1.0,1.0
mevenide.csv,0.93,0.86,0.99,0.78,0.75,0.86,0.59,0.7,0.94,0.68,1.01,0.84,0.73,0.79,0.54,0.03,1.03,0.97
mumble.csv,0.78,0.62,0.95,0.57,0.56,0.69,0.6,0.47,0.71,1.02,0.91,0.69,0.81,0.08,0.42,0.71,0.64,0.95
mycila.csv,1.0,0.91,0.8,0.96,0.95,0.94,1.05,0.96,0.79,1.0,0.1,0.84,0.93,0.97,1.0,0.97,1.33,0.94
opengs.csv,0.53,0.75,1.0,0.51,0.54,0.71,0.51,0.64,0.04,0.85,0.82,0.68,0.69,0.62,0.62,0.66,0.67,0.67
openintents.csv,0.96,0.59,1.0,0.03,0.49,0.76,0.7,0.73,0.68,0.71,0.7,0.84,0.71,0.72,0.35,0.77,1.07,0.83
tweetsharp.csv,0.88,0.73,0.95,0.8,0.82,0.73,0.81,0.67,0.82,1.01,0.55,0.71,0.89,0.77,0.54,0.65,0.43,0.0
xharbour.csv,0.02,1.0,0.54,0.87,0.73,1.0,1.0,0.71,0.81,0.94,1.0,0.91,0.63,0.75,0.92,0.98,0.53,0.87
