,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.55,0.0,0.65,0.86,0.53,0.7,0.56,0.71,0.57,0.05,0.1,0.45,0.46,0.33,0.7,0.03
betoffice.csv,0.31,0.66,0.25,0.5,0.53,0.35,0.37,0.98,0.49,0.73,0.54,0.5,0.32,0.64,0.43,0.38
bnetd.csv,0.83,0.79,0.5,0.86,0.82,1.0,0.37,0.6,0.83,0.72,0.97,0.89,0.75,0.83,0.83,0.91
elvishrayrenderer.csv,0.67,0.56,0.35,0.73,0.75,0.65,0.46,0.31,0.66,0.32,0.31,0.79,0.57,0.45,0.6,1.0
emisview.csv,0.12,0.0,0.1,0.32,0.16,1.0,0.1,0.02,0.19,0.01,0.05,0.11,0.32,0.17,0.3,0.15
findbugs.csv,0.62,0.86,0.9,0.23,0.55,0.22,0.66,0.49,0.45,0.61,0.87,0.24,1.0,0.62,0.53,0.62
hazelcast.csv,0.93,0.87,0.65,0.91,1.0,1.0,0.73,0.91,0.88,0.74,0.74,0.95,0.79,0.74,0.9,0.85
jitterbit.csv,0.31,0.61,0.7,0.32,0.31,0.39,0.15,0.04,0.96,0.82,0.36,0.29,0.46,0.38,0.1,0.5
jppf-project.csv,0.95,0.93,0.35,1.0,0.93,1.0,0.98,0.87,0.69,0.99,0.82,1.0,0.86,0.5,0.97,0.76
megasquirtavr.csv,0.93,0.78,0.9,0.95,0.89,1.0,0.71,0.6,0.86,0.16,0.36,0.87,0.82,0.62,0.87,0.74
stajistics.csv,0.38,0.33,0.55,0.64,0.55,0.43,0.61,0.13,0.37,0.62,0.08,0.74,0.43,0.43,1.0,0.65
trackit.csv,0.69,0.1,0.2,0.5,0.65,0.22,0.95,0.09,0.57,0.25,0.08,0.58,0.36,0.19,0.17,0.24
tweetsharp.csv,0.5,0.55,0.45,0.18,0.4,0.3,0.37,0.56,0.33,0.85,0.74,0.28,0.18,0.98,0.37,0.18
wxlua.csv,0.95,0.98,0.8,0.91,1.0,0.96,1.0,1.0,0.94,1.0,0.85,0.97,0.96,0.86,0.97,0.85
x4x.csv,1.0,0.86,0.2,0.95,0.93,0.83,0.83,0.8,0.44,0.59,0.92,0.87,0.82,0.71,0.87,0.76
xharbour.csv,0.93,1.0,0.85,0.59,0.8,0.7,0.95,0.73,0.76,0.33,0.87,0.47,0.86,0.71,0.87,0.79
