,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.52,0.0,0.6,0.88,0.4,0.64,0.55,0.55,0.59,0.06,0.12,0.43,0.46,0.38,0.51,0.04
betoffice.csv,0.34,0.41,0.28,0.5,0.5,0.39,0.4,0.98,0.52,0.67,0.53,0.31,0.35,0.63,0.46,0.38
bnetd.csv,0.57,0.74,0.53,0.61,0.83,0.47,0.37,0.56,0.64,0.0,0.98,0.39,0.38,0.51,0.73,0.67
elvishrayrenderer.csv,0.6,0.59,0.4,0.65,0.79,0.46,0.49,0.35,0.58,0.35,0.35,0.55,0.53,0.45,0.59,1.0
emisview.csv,0.15,0.0,0.12,0.37,0.19,1.0,0.12,0.02,0.23,0.01,0.06,0.13,0.36,0.2,0.34,0.18
findbugs.csv,0.57,0.59,0.05,0.26,0.0,0.26,0.63,0.49,0.48,0.58,0.13,0.28,1.0,0.65,0.45,0.53
hazelcast.csv,0.49,0.68,0.64,0.65,1.0,0.33,0.44,0.53,0.43,0.68,0.68,0.4,0.35,0.48,0.75,0.6
jitterbit.csv,0.35,0.39,0.36,0.35,0.35,0.41,0.18,0.05,0.97,0.67,0.41,0.33,0.5,0.42,0.12,0.5
jppf-project.csv,0.0,0.0,0.39,0.09,0.0,0.09,0.17,0.37,0.16,0.62,0.13,1.0,0.26,0.38,0.0,0.35
megasquirtavr.csv,0.3,0.69,0.92,0.62,0.81,0.43,0.61,0.58,0.63,0.19,0.4,0.0,0.6,0.49,0.46,0.63
stajistics.csv,0.4,0.37,0.42,0.64,0.59,0.47,0.6,0.16,0.4,0.48,0.1,0.36,0.46,0.46,1.0,0.63
trackit.csv,0.51,0.12,0.24,0.48,0.61,0.26,0.96,0.11,0.5,0.28,0.1,0.56,0.38,0.23,0.2,0.26
tweetsharp.csv,0.48,0.45,0.41,0.21,0.33,0.35,0.41,0.55,0.37,0.68,0.58,0.32,0.21,0.98,0.39,0.21
wxlua.csv,0.0,0.0,0.56,0.27,0.0,0.59,0.17,0.0,0.13,1.0,0.36,0.0,0.17,0.26,0.05,0.36
x4x.csv,1.0,0.2,0.24,0.5,0.35,0.4,0.31,0.47,0.4,0.63,0.24,0.39,0.4,0.38,0.61,0.35
xharbour.csv,0.0,1.0,0.68,0.55,0.6,0.68,0.5,0.5,0.57,0.35,0.24,0.49,0.67,0.38,0.43,0.58
