,openefm.csv,dsworkbench.csv,autofac.csv,haggle.csv,cuberok.csv,jgnash.csv,apertium.csv,gabel.csv,tmva.csv,azureus.csv,octet.csv,jchassis.csv,servicestack.csv,gephex.csv,wsmt.csv,coot.csv,icescrum.csv,synecdoche.csv,rcp-company-uibindings.csv,javaprofiler.csv
apertium.csv,0.16,0.31,0.03,0.2,0.34,0.25,0.0,0.23,0.22,0.4,0.27,0.11,0.11,0.07,0.5,0.3,0.31,0.07,0.3,0.14
autofac.csv,0.43,0.25,0.0,0.44,0.23,0.41,0.53,0.43,0.23,0.34,0.51,0.39,0.17,0.37,0.6,0.35,0.53,0.56,0.3,0.36
azureus.csv,0.3,0.19,0.3,0.07,0.14,0.25,0.34,0.21,0.07,0.0,0.14,0.05,0.07,0.07,0.37,0.14,0.47,0.16,0.0,0.03
coot.csv,0.18,0.0,0.03,0.37,0.26,0.35,0.21,0.5,0.32,0.25,0.12,0.32,0.02,0.41,0.23,0.03,0.44,0.51,0.3,0.28
cuberok.csv,0.54,0.75,0.42,0.49,0.0,0.48,0.5,0.5,0.37,0.6,0.57,0.56,0.46,0.46,0.87,0.35,0.5,0.28,0.3,0.61
dsworkbench.csv,0.18,0.0,0.39,0.37,0.06,0.33,0.36,0.33,0.15,0.35,0.18,0.2,0.33,0.15,0.13,0.14,0.56,0.26,0.2,0.19
gabel.csv,0.0,0.12,0.06,0.05,0.0,0.02,0.31,0.0,0.0,0.04,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
gephex.csv,0.31,0.81,0.39,0.73,0.17,0.54,0.62,0.57,0.77,0.63,0.37,0.39,0.39,0.05,0.6,0.78,0.78,0.77,0.0,0.36
haggle.csv,0.18,0.62,0.33,0.0,0.0,0.09,0.22,0.32,0.7,0.23,0.08,0.24,0.15,0.76,0.37,0.68,0.75,0.51,0.0,0.39
icescrum.csv,0.09,0.0,0.0,0.07,0.23,0.26,0.09,0.24,0.05,0.24,0.02,0.11,0.02,0.2,0.43,0.14,0.0,0.14,0.1,0.11
javaprofiler.csv,0.9,0.62,0.52,0.83,0.8,0.39,0.93,0.7,0.97,0.6,0.37,0.21,0.43,0.66,0.5,0.92,0.88,1.0,0.5,0.03
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgnash.csv,0.09,0.19,0.12,0.39,0.11,0.0,0.14,0.14,0.33,0.2,0.08,0.06,0.15,0.17,0.2,0.41,0.25,0.19,0.6,0.03
octet.csv,0.15,0.69,0.03,0.27,0.2,0.39,0.66,0.29,0.17,0.66,0.0,0.24,0.02,0.15,0.43,0.19,0.5,0.23,0.3,0.33
openefm.csv,0.0,0.75,0.85,0.61,0.2,0.42,0.84,0.25,0.35,0.45,0.82,0.38,0.74,0.2,0.67,0.35,0.41,0.37,0.6,0.06
rcp-company-uibindings.csv,0.85,0.88,1.0,0.78,0.91,0.94,0.81,0.92,0.8,0.88,0.98,0.71,0.74,0.9,0.93,0.81,0.84,0.77,0.0,0.72
servicestack.csv,0.13,0.12,0.15,0.27,0.14,0.26,0.67,0.24,0.17,0.39,0.16,0.18,0.0,0.22,0.37,0.43,0.41,0.16,0.2,0.14
synecdoche.csv,0.42,0.38,0.18,0.41,0.8,0.53,0.16,0.41,0.22,0.42,0.39,0.32,0.07,0.2,0.53,0.11,0.31,0.0,0.4,0.42
tmva.csv,0.94,0.56,0.39,0.56,0.66,0.82,0.67,0.8,0.03,0.57,0.84,0.73,0.61,0.56,0.8,0.27,0.5,0.56,0.5,0.81
wsmt.csv,0.16,0.06,0.12,0.2,0.23,0.04,0.38,0.13,0.13,0.12,0.08,0.14,0.13,0.2,0.03,0.22,0.12,0.12,0.0,0.06
