,openefm.csv,dsworkbench.csv,autofac.csv,haggle.csv,cuberok.csv,jgnash.csv,apertium.csv,gabel.csv,tmva.csv,azureus.csv,octet.csv,jchassis.csv,servicestack.csv,gephex.csv,wsmt.csv,coot.csv,icescrum.csv,synecdoche.csv,rcp-company-uibindings.csv,javaprofiler.csv
apertium.csv,0.69,0.57,0.8,0.83,0.42,0.62,0.78,0.56,0.84,0.44,0.72,0.86,0.6,0.83,0.54,0.71,0.45,0.8,0.74,0.7
autofac.csv,0.35,0.55,0.54,0.6,0.43,0.43,0.56,0.43,0.43,0.38,0.5,0.67,0.71,0.43,0.36,0.41,0.32,0.35,0.44,0.6
azureus.csv,0.63,0.48,0.52,0.81,0.62,0.67,0.53,0.57,0.79,0.69,0.67,0.67,0.83,0.86,0.56,0.89,0.38,0.83,0.7,0.91
coot.csv,0.89,0.0,0.67,0.54,0.5,0.83,0.93,0.59,0.61,0.72,0.89,0.76,0.5,0.5,0.78,0.54,0.57,0.47,0.98,0.79
cuberok.csv,0.42,0.45,0.44,0.49,0.6,0.46,0.53,0.43,0.53,0.46,0.44,0.59,0.41,0.51,0.36,0.8,0.34,0.67,0.43,0.56
dsworkbench.csv,0.94,0.42,0.58,0.65,0.83,0.56,0.56,0.59,0.98,0.55,0.75,0.62,0.44,0.9,0.88,0.89,0.34,0.94,0.54,0.81
gabel.csv,0.0,0.86,0.89,0.5,0.0,0.8,0.71,0.88,0.0,0.93,0.89,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.97,0.0
gephex.csv,0.51,0.37,0.43,0.51,0.62,0.43,0.45,0.49,0.46,0.49,0.67,0.62,0.37,0.49,0.5,0.5,0.29,0.38,0.56,0.73
haggle.csv,0.62,0.49,0.62,0.55,0.0,0.94,0.81,0.65,0.45,0.93,0.83,0.69,0.62,0.38,0.54,0.4,0.3,0.42,0.7,0.57
icescrum.csv,0.88,0.6,0.0,0.9,0.67,0.62,0.91,0.48,0.96,0.58,0.75,0.75,0.8,0.84,0.62,0.71,0.58,0.83,0.78,0.93
javaprofiler.csv,0.38,0.47,0.43,0.5,0.4,0.63,0.42,0.46,0.46,0.46,0.48,0.93,0.67,0.44,0.53,0.46,0.31,0.37,0.44,0.47
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgnash.csv,0.92,0.74,0.88,0.75,0.8,0.96,0.92,0.93,0.86,0.76,0.8,0.75,0.92,0.92,0.88,0.54,0.85,0.78,0.89,0.89
octet.csv,0.79,0.46,0.69,0.89,0.93,0.49,0.45,0.5,0.89,0.4,0.83,0.44,0.75,0.95,0.55,0.91,0.38,0.94,0.5,0.65
openefm.csv,0.65,0.41,0.36,0.74,0.5,0.68,0.48,0.48,0.72,0.56,0.52,0.78,0.51,0.74,0.39,0.72,0.43,0.71,0.51,0.76
rcp-company-uibindings.csv,0.38,0.38,0.33,0.48,0.4,0.42,0.42,0.44,0.43,0.37,0.44,0.53,0.42,0.34,0.33,0.45,0.32,0.43,0.41,0.38
servicestack.csv,0.88,0.8,0.73,0.41,0.89,0.63,0.46,0.56,0.51,0.54,0.78,0.67,0.71,0.78,0.53,0.53,0.56,0.92,0.51,0.92
synecdoche.csv,0.63,0.6,0.65,0.77,0.48,0.51,0.93,0.53,0.65,0.51,0.74,0.57,0.88,0.71,0.7,0.88,0.53,0.64,0.75,0.56
tmva.csv,0.38,0.49,0.54,0.5,0.47,0.42,0.47,0.49,0.51,0.52,0.48,0.62,0.58,0.42,0.41,0.9,0.42,0.41,0.48,0.54
wsmt.csv,0.73,0.5,0.89,0.63,0.5,0.88,0.48,0.86,0.6,0.96,0.75,0.91,0.86,0.94,0.57,0.91,0.67,0.86,0.95,0.94
