,nova.csv,crisscross.csv,mb-unit.csv,ivatamasks.csv,ivataopenportal.csv,kolmafia.csv,olex2.csv
crisscross.csv,0.18,0.92,0.23,0.38,0.2,0.66,0.47
ivatamasks.csv,0.1,0.67,0.55,0.99,0.55,0.75,0.49
ivataopenportal.csv,0.18,0.22,0.57,0.48,0.98,0.55,0.51
kolmafia.csv,0.18,0.47,0.44,0.46,0.36,0.98,0.29
mb-unit.csv,0.55,0.46,0.99,0.38,0.57,0.52,0.53
nova.csv,0.93,0.46,0.41,0.6,0.47,0.64,0.54
olex2.csv,0.18,0.54,0.45,0.53,0.51,0.62,0.94
