,nova.csv,crisscross.csv,mb-unit.csv,ivatamasks.csv,ivataopenportal.csv,kolmafia.csv,olex2.csv
crisscross.csv,0.15,0.9,0.19,0.33,0.17,0.72,0.43
ivatamasks.csv,0.08,0.76,0.55,0.99,0.53,0.79,0.47
ivataopenportal.csv,0.15,0.19,0.63,0.49,0.98,0.53,0.5
kolmafia.csv,0.15,0.43,0.4,0.42,0.32,0.98,0.25
mb-unit.csv,0.54,0.95,1.0,0.95,0.72,0.77,0.87
nova.csv,0.92,0.43,0.37,0.66,0.6,0.66,0.53
olex2.csv,0.15,0.52,0.41,0.52,0.48,0.62,0.93
