,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv
ambulant.csv,0.43,0.52,0.53,0.52,0.56,0.66
ingex.csv,0.57,0.42,0.42,0.45,0.57,0.71
jgnash.csv,0.61,0.66,0.6,0.55,0.61,0.53
mp-rechnungs-und-kundenverwaltung.csv,0.51,0.36,0.29,0.65,0.62,0.42
openefm.csv,0.68,0.59,0.07,0.53,0.45,0.38
yarp0.csv,0.52,0.36,0.71,0.5,0.64,0.6
