,avifile.csv,pokeglobal.csv,gogoego.csv,patterntesting.csv,fluidium.csv,qtwin.csv,httpcontentparser.csv
avifile.csv,0.31,0.67,0.3,0.59,0.39,0.0,0.1
fluidium.csv,0.0,0.33,0.36,0.0,0.46,0.0,0.0
gogoego.csv,0.0,0.71,0.37,0.4,0.33,0.01,0.15
httpcontentparser.csv,0.03,0.62,0.27,0.83,0.42,0.0,0.3
patterntesting.csv,0.06,0.63,0.24,0.71,0.43,0.0,0.11
pokeglobal.csv,0.08,0.79,0.34,0.55,0.42,0.0,0.12
qtwin.csv,0.0,0.83,0.3,0.35,0.0,0.03,0.4
