,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,2445.5,198.0,198.0,9981.5,91.5,969.5,96.5,84.5,94.5,28.5,98.5,79.5,97.5
grafx2.csv,293.5,99.0,198.0,2444.5,91.5,1337.0,96.5,457.0,97.5,97.5,98.5,278.5,97.5
jahshakafx.csv,194.5,198.0,198.0,1736.5,91.5,2402.5,96.5,67.5,97.5,97.5,98.5,281.5,97.5
kftpgrabber.csv,91.5,198.0,290.0,336.0,97.5,280.5,92.5,254.5,94.5,21.5,98.5,79.5,97.5
kindb.csv,194.5,396.0,99.0,3228.5,97.5,2013.0,96.5,93.5,97.5,97.5,98.5,176.0,97.5
maya-work-in-progress.csv,2445.5,198.0,198.0,3582.0,97.5,1328.0,96.5,383.5,97.5,97.5,98.5,380.5,97.5
netatalk.csv,194.5,198.0,198.0,9545.5,91.5,1623.0,96.5,290.5,97.5,97.5,98.5,359.0,97.5
nullc.csv,2818.0,297.0,198.0,9767.5,97.5,468.5,96.5,421.5,97.5,97.5,98.5,166.0,97.5
plee-the-bear.csv,194.5,99.0,99.0,471.0,94.5,2499.0,96.5,189.0,97.5,97.5,98.5,281.5,95.5
reaper-ecad.csv,82.5,198.0,99.0,1623.0,80.5,275.5,86.5,0.0,94.5,52.5,98.5,59.5,65.5
unimrcp.csv,2445.5,99.0,198.0,4772.0,97.5,825.5,96.5,93.5,97.5,97.5,98.5,82.5,97.5
unladen-swallow.csv,166.0,99.0,382.0,255.0,91.5,1339.0,96.5,93.5,97.5,89.5,98.5,281.5,95.5
xmoto.csv,662.0,198.0,198.0,165.0,97.5,2596.5,96.5,936.5,97.5,97.5,98.5,380.5,97.5
