,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,1.0,0.12,0.64,0.86,0.39,0.33,0.87,0.86,0.83,0.23,0.7,0.9,0.26
autofac.csv,0.5,0.06,0.15,0.46,0.37,0.77,0.58,0.47,0.73,0.39,0.49,0.14,0.27
coot.csv,1.0,0.0,0.15,0.68,0.88,0.59,0.02,0.92,0.88,0.27,0.27,0.31,0.76
dsworkbench.csv,0.0,0.12,0.09,0.11,0.17,0.19,0.64,0.08,0.09,0.2,0.27,0.19,0.02
emono.csv,1.0,0.38,0.7,0.75,0.95,0.76,0.38,0.96,1.0,0.52,0.59,0.43,0.45
exist.csv,1.0,0.88,1.0,0.89,1.0,0.96,0.24,1.0,0.95,0.55,0.84,0.79,0.6
freelords.csv,0.5,0.69,0.45,0.43,0.41,0.84,0.78,0.35,0.27,0.48,0.68,0.81,0.47
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.02,0.11,0.02,0.0,0.0,0.0
jpaul.csv,0.0,0.81,0.18,0.21,0.29,0.37,0.28,0.25,0.26,0.15,0.0,0.0,0.18
neodatis-odb.csv,1.0,0.06,0.45,0.14,0.54,0.27,0.36,0.2,0.52,0.15,0.3,0.05,0.06
octet.csv,0.0,0.44,0.76,0.21,0.49,0.33,0.96,0.2,0.27,0.76,0.59,0.6,0.4
thedata.csv,1.0,0.44,0.76,0.68,0.85,0.56,0.59,0.76,0.44,0.33,0.57,0.5,0.05
