,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.28,0.08,0.83,0.4,0.48,0.16,0.0,0.39,0.97,0.32,0.35,0.67
ctrlr.csv,0.2,0.0,0.0,0.18,0.43,0.0,0.46,0.17,0.98,0.02,0.17,0.52
dvt.csv,0.3,0.09,0.73,0.52,0.31,0.16,0.41,0.32,0.98,0.15,0.26,0.43
flylinkdc.csv,0.52,0.07,0.83,0.28,0.38,0.12,0.3,0.39,0.92,0.18,0.25,0.41
free-evolution.csv,0.28,0.09,0.83,0.32,0.41,0.16,0.21,0.27,0.97,0.22,0.37,0.68
fw4spl.csv,0.33,0.14,0.81,0.22,0.25,0.24,0.16,0.38,0.9,0.2,0.47,0.75
ipfire-wall.csv,0.37,0.13,0.78,0.3,0.25,0.19,0.12,0.58,0.0,0.12,0.4,0.67
ldview.csv,0.28,0.09,0.82,0.26,0.63,0.16,0.38,0.33,0.96,0.17,0.3,0.59
nuttx.csv,0.44,0.18,0.87,0.18,0.38,0.2,0.33,0.28,0.97,0.2,0.3,0.58
uclmda.csv,0.2,0.0,0.89,0.55,0.29,0.15,0.45,0.15,1.0,0.06,0.32,0.78
vdsf.csv,0.24,0.22,0.78,0.29,0.38,0.08,0.25,0.35,0.97,0.11,0.22,0.43
xcf.csv,0.36,0.14,0.81,0.36,0.55,0.18,0.36,0.38,0.96,0.16,0.29,0.72
