,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.23,0.07,0.66,0.36,0.77,0.4,0.29,0.7,0.14,0.05,0.29,0.37
gamestone.csv,0.15,0.43,0.19,0.16,0.03,0.06,0.78,0.06,0.42,0.0,0.11,0.09
geochat.csv,0.12,0.6,0.11,0.27,0.2,0.32,0.89,0.21,0.44,0.79,0.28,0.19
igarden.csv,0.15,0.36,0.09,0.35,0.13,0.42,0.04,0.39,0.11,0.04,0.27,0.19
ingex.csv,0.08,0.29,0.41,0.49,0.86,0.18,0.16,0.42,0.21,0.41,0.25,0.15
lphant.csv,0.38,0.4,0.53,0.58,0.22,0.54,0.53,0.21,0.38,0.11,0.46,0.4
nabu-library.csv,0.31,0.5,0.24,0.36,0.24,0.82,0.0,0.36,0.14,0.07,0.53,0.26
nebuladevice.csv,0.37,0.07,0.02,0.53,0.82,0.18,0.58,0.21,0.3,0.2,0.57,0.08
owlapi.csv,0.42,0.26,0.27,0.35,0.87,0.56,0.02,0.88,0.2,0.61,0.5,0.47
pi-qmc.csv,0.27,0.44,0.32,0.45,0.19,0.32,0.56,0.48,0.75,0.18,0.56,0.53
trinitycore.csv,0.4,0.62,0.22,0.71,0.17,0.22,0.22,0.03,0.45,0.3,0.34,0.07
twostep.csv,0.29,0.62,0.92,1.0,0.89,0.76,0.16,0.82,0.61,0.27,0.66,0.79
