,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.42,0.16,0.61,0.62,0.37,0.34,0.53,0.59,0.09,0.37,0.31,0.43
gamestone.csv,0.97,0.42,0.0,0.05,0.05,0.09,0.36,0.11,0.54,0.11,0.11,0.09
geochat.csv,0.0,0.36,0.05,0.55,0.39,0.28,0.32,0.27,0.36,0.32,0.31,0.54
igarden.csv,0.29,0.62,0.28,0.62,0.41,0.59,0.15,0.52,0.38,0.37,0.54,0.24
ingex.csv,0.15,0.46,0.6,0.44,0.42,0.59,0.47,0.39,0.24,0.59,0.48,0.34
lphant.csv,0.72,0.29,0.65,0.4,0.4,0.67,0.71,0.81,0.55,0.55,0.56,0.49
nabu-library.csv,0.53,0.52,0.4,0.25,0.85,0.5,0.0,0.17,0.0,0.27,0.53,0.31
nebuladevice.csv,0.28,0.27,0.0,0.48,0.42,0.17,0.1,0.06,0.72,0.45,0.62,0.0
owlapi.csv,0.0,0.27,0.82,0.34,0.41,0.64,0.23,0.35,0.24,0.59,0.43,0.56
pi-qmc.csv,0.85,0.47,0.51,0.41,0.4,0.45,0.69,0.5,0.56,0.82,0.48,0.59
trinitycore.csv,0.62,0.66,0.19,0.45,0.36,0.25,0.14,0.32,0.69,0.57,0.61,0.09
twostep.csv,0.64,0.68,0.3,0.0,0.34,0.56,0.87,0.49,0.59,0.73,0.6,0.52
