,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.64,0.95,0.42,0.67,0.83,0.57,0.75,0.63,0.42,0.37,0.94,0.88,0.75,0.83,0.91,0.8,0.46
blue-c.csv,0.7,0.58,0.58,0.47,0.75,0.64,0.49,0.47,0.73,0.55,0.62,0.57,0.71,0.57,0.55,0.43,0.49
factor.csv,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.5,0.53
fltk.csv,0.56,0.54,0.94,0.83,0.89,0.68,0.61,0.58,0.62,0.65,0.67,0.8,0.91,0.45,0.95,0.56,0.86
free-evolution.csv,0.92,0.77,0.82,0.62,0.8,0.92,0.84,0.82,0.96,0.57,0.75,0.78,0.67,0.51,0.82,0.57,0.86
icescrum.csv,0.92,0.73,0.47,0.6,0.75,0.48,0.54,0.62,0.38,0.55,0.53,0.67,0.65,0.38,0.79,0.55,0.67
jbasic.csv,0.91,0.66,0.97,0.47,0.75,0.59,0.71,0.8,0.65,0.73,0.6,0.0,0.78,0.62,0.56,0.86,0.75
kvs.csv,0.84,0.54,0.62,0.71,0.8,0.92,0.88,0.0,0.59,0.53,0.58,0.77,0.64,0.47,0.92,0.69,0.89
monetdb.csv,0.79,0.62,0.69,0.64,0.8,0.72,0.56,0.52,0.62,0.54,0.59,0.8,0.6,0.48,0.74,0.35,0.81
phet.csv,0.83,0.96,0.98,0.67,0.73,0.65,0.69,0.5,0.86,0.8,0.88,0.92,0.79,0.93,0.97,0.6,0.7
projecteqemu.csv,0.86,0.97,0.96,0.0,0.0,0.88,0.92,0.56,0.8,0.83,0.83,0.86,0.83,0.61,0.92,0.0,0.89
repositorium.csv,0.95,0.79,0.46,0.75,0.62,0.57,0.61,0.47,0.39,0.69,0.96,0.39,0.91,0.71,0.97,0.41,0.81
smarttag.csv,0.66,0.65,0.75,0.38,0.74,0.51,0.69,0.83,0.0,0.68,0.48,0.82,0.58,0.45,0.62,0.45,0.57
sumatrapdf.csv,0.61,0.47,0.44,0.48,0.58,0.44,0.42,0.39,0.47,0.65,0.44,0.42,0.47,0.41,0.49,0.31,0.47
voms.csv,0.5,0.94,0.95,0.0,0.89,0.83,0.8,0.5,0.0,0.88,0.8,0.67,0.0,0.67,0.0,0.64,0.0
vrjuggler.csv,0.66,0.98,0.38,0.87,0.88,0.85,0.42,0.4,0.93,0.95,0.93,0.73,0.77,0.89,0.77,0.48,0.84
wheat.csv,0.94,0.8,0.88,0.83,0.88,0.97,0.73,0.94,0.45,0.48,0.49,0.52,0.42,0.55,0.62,0.83,0.93
