,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.45,0.07,0.38,0.1,0.11,0.51,0.96,0.36,0.94,0.61,0.11,0.21,0.0,0.11,0.18,0.05,0.46
blue-c.csv,0.25,0.69,0.33,1.0,0.44,0.37,0.8,0.79,0.44,0.55,0.4,0.46,0.18,0.56,0.52,0.68,0.63
factor.csv,0.0,0.0,0.0,0.03,0.11,0.0,0.04,0.07,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.11,0.98
fltk.csv,0.5,0.98,0.14,0.33,0.44,0.4,0.4,0.21,0.62,0.48,0.38,0.07,0.27,0.47,0.3,0.47,0.12
free-evolution.csv,0.25,0.32,0.19,0.63,0.11,0.13,0.04,0.21,0.25,0.55,0.38,0.36,0.09,0.47,1.0,0.47,0.39
icescrum.csv,0.3,0.33,0.23,0.3,0.11,0.84,0.6,0.36,0.62,0.45,0.49,0.36,0.27,0.56,0.21,1.0,0.22
jbasic.csv,0.1,0.44,0.07,0.5,0.11,1.0,0.32,0.29,0.19,0.42,0.28,0.0,0.27,0.31,0.45,0.21,0.05
kvs.csv,0.95,0.32,0.19,0.27,0.22,0.11,0.08,0.0,0.25,0.58,0.55,0.18,0.36,0.72,0.15,0.32,0.12
monetdb.csv,0.35,0.45,0.16,0.3,0.11,0.19,0.32,0.36,0.38,0.42,0.94,0.21,0.36,0.64,0.3,0.63,0.37
phet.csv,0.05,0.09,0.91,0.27,0.56,0.54,0.48,0.64,0.12,0.0,0.13,0.21,0.27,0.08,0.18,0.47,0.32
projecteqemu.csv,0.05,0.13,0.03,0.0,0.0,0.17,0.04,0.57,0.06,0.19,0.32,0.14,0.09,0.92,0.15,0.0,0.17
repositorium.csv,0.25,0.27,0.45,0.1,0.22,0.24,0.32,0.36,0.81,0.23,0.23,0.86,1.0,0.44,0.27,0.58,0.29
smarttag.csv,0.4,0.46,0.16,0.7,0.56,0.33,0.28,0.79,0.0,0.26,0.38,0.25,0.36,0.42,0.36,0.79,0.49
sumatrapdf.csv,0.55,0.87,0.65,0.7,1.0,0.6,0.8,0.86,0.56,1.0,0.77,0.61,0.73,0.92,0.79,0.95,0.78
voms.csv,0.05,0.07,0.04,0.0,1.0,0.08,0.08,0.0,0.0,0.16,0.06,0.04,0.0,0.06,0.0,0.32,0.0
vrjuggler.csv,0.35,0.2,0.96,0.17,0.22,0.37,0.92,0.93,0.88,0.13,0.02,0.18,0.27,0.17,0.36,0.63,0.44
wheat.csv,0.25,0.21,0.13,0.17,0.22,0.21,0.36,0.21,0.69,0.61,0.55,0.96,0.64,0.53,0.36,0.21,0.22
