,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.25,0.08,0.48,0.6,0.67,0.62,0.36,0.1,0.19,0.46,0.81,0.14,0.24,0.97
bibedt.csv,0.95,0.83,0.32,0.57,0.5,0.56,0.45,0.7,0.55,0.69,0.03,0.14,0.4,0.43
brlcad.csv,0.76,0.25,0.43,0.07,0.78,0.19,0.3,0.3,0.19,0.46,0.24,0.14,0.55,0.43
co-ode-owl-plugins.csv,0.31,0.67,0.53,0.7,0.72,0.81,0.33,0.3,0.32,0.62,0.7,0.29,0.38,0.77
firebreath.csv,0.87,0.83,0.7,0.56,0.39,0.31,0.58,0.7,0.48,0.69,0.3,0.57,0.45,0.6
fltk.csv,0.36,0.67,0.77,0.63,0.83,0.94,0.35,0.4,0.61,0.62,0.54,0.57,0.71,0.46
glas.csv,0.38,0.67,0.58,0.44,0.61,0.88,0.76,0.6,0.65,0.62,0.49,0.71,0.48,0.69
gretl.csv,0.62,0.75,0.63,0.66,0.83,0.88,0.69,0.7,0.68,0.69,0.81,0.57,0.67,0.66
konversation.csv,0.32,0.58,0.57,0.61,0.44,0.69,0.47,0.6,0.39,0.85,0.03,0.57,0.45,0.14
micomt.csv,0.94,0.75,0.78,0.93,0.89,0.44,0.67,0.8,0.58,0.92,0.62,1.0,0.83,0.89
openxava.csv,0.3,0.33,0.32,0.67,0.5,0.75,0.51,0.5,0.32,0.23,0.22,0.71,0.48,0.54
sumatrapdf.csv,0.53,0.75,0.93,0.98,1.0,1.0,0.5,0.8,0.77,0.85,0.97,1.0,1.0,0.86
tweetsharp.csv,0.49,0.17,0.77,0.29,0.83,0.38,0.13,0.4,0.39,0.54,0.76,0.0,0.79,0.63
wxcode.csv,0.21,0.58,0.28,0.52,0.06,0.62,0.38,0.4,0.45,0.31,0.03,1.0,0.21,0.09
