,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.8,0.92,0.59,0.68,0.34,0.96,0.68,0.9,0.81,0.72,0.79,0.94,0.76,0.18
bibedt.csv,0.76,0.39,0.69,0.5,0.68,0.95,0.57,0.36,0.6,0.31,0.99,0.87,0.65,0.63
brlcad.csv,0.5,0.77,0.6,0.93,0.84,0.82,0.71,0.7,0.81,0.54,0.76,0.88,0.49,0.65
co-ode-owl-plugins.csv,0.76,0.43,0.59,0.68,0.31,0.97,0.7,0.7,0.74,0.74,0.69,0.78,0.62,0.26
firebreath.csv,0.67,0.56,0.45,0.51,1.0,0.81,0.49,0.55,0.52,0.34,0.71,0.52,0.64,0.82
fltk.csv,0.75,0.41,0.66,0.46,0.61,0.99,0.67,0.62,0.39,0.42,0.62,0.54,0.55,0.57
glas.csv,0.72,0.41,0.61,0.68,0.6,0.51,0.61,0.51,0.53,0.88,0.6,0.65,0.75,0.59
gretl.csv,0.67,0.55,0.73,0.61,0.66,0.27,0.45,0.61,0.62,0.79,0.63,0.76,0.87,0.47
konversation.csv,0.78,0.46,0.52,0.7,0.58,0.7,0.59,0.73,0.69,0.37,0.97,0.58,0.72,0.87
micomt.csv,0.92,0.66,0.66,0.9,0.95,1.02,0.52,0.66,0.43,0.19,0.87,0.66,0.69,0.86
openxava.csv,0.77,0.69,0.76,0.74,0.69,0.35,0.63,0.72,0.72,0.78,0.87,0.54,0.8,0.54
sumatrapdf.csv,0.75,0.69,0.92,0.93,0.92,1.0,0.55,0.71,0.29,0.6,0.98,0.72,1.0,1.0
tweetsharp.csv,0.66,0.88,0.76,0.75,0.7,0.93,0.88,0.6,0.63,0.65,0.8,1.08,0.34,0.42
wxcode.csv,0.84,0.45,0.73,0.61,0.94,0.57,0.63,0.63,0.58,0.7,0.98,0.18,0.81,1.05
