,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.79,0.88,0.39,0.24,0.18,0.79,0.53,0.09,0.45,0.72,0.71
badtrinitycore.csv,0.0,0.75,0.33,0.36,0.14,0.0,0.1,0.19,0.4,0.71,0.53
boost.csv,0.55,0.94,0.23,0.14,0.17,0.33,0.25,0.15,0.54,0.69,0.52
electric-core.csv,0.58,0.82,0.42,0.16,0.19,0.83,0.31,0.15,0.43,0.64,0.57
java-gnome.csv,0.5,0.77,0.13,0.24,0.19,0.96,0.26,0.15,0.33,0.72,0.62
miranda-icq.csv,0.62,0.78,0.32,0.12,0.13,0.33,0.4,0.26,0.47,0.69,0.57
ofbiz.csv,0.53,0.77,0.19,0.12,0.12,0.64,0.25,0.15,0.41,0.81,0.67
olsrd.csv,0.58,0.94,0.33,0.21,0.21,0.57,0.3,0.14,0.56,0.75,0.71
opensim4opencog.csv,0.58,0.88,0.31,0.2,0.24,0.5,0.27,0.17,0.55,0.81,0.92
t-2.csv,0.42,0.74,0.18,0.1,0.09,0.5,0.21,0.35,0.37,0.8,0.53
xcf.csv,0.53,0.92,0.34,0.17,0.08,0.88,0.33,0.13,0.5,0.77,0.74
