,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.78,0.11,1.0,0.02,0.61,0.31,0.31,0.36,0.2,0.54,0.4,0.09,1.0
avifile.csv,0.31,0.29,1.0,0.0,0.56,0.39,0.2,0.26,0.2,0.47,0.35,0.09,0.82
baadengine.csv,0.93,0.06,0.95,0.01,0.74,0.32,0.31,0.26,0.18,0.44,0.29,0.12,0.81
gdis.csv,0.84,0.04,0.98,0.0,0.61,0.38,0.33,0.23,0.18,0.39,0.41,0.1,0.96
gogoego.csv,0.85,0.0,0.97,0.02,0.74,0.24,0.47,0.35,0.17,0.42,0.31,0.09,0.9
impala.csv,0.75,0.08,1.0,0.03,0.56,0.32,0.31,0.23,0.17,0.15,0.28,0.22,0.77
jgameai.csv,0.0,0.19,1.0,0.0,0.67,0.47,0.18,0.25,0.1,1.0,1.0,0.14,0.56
jhotdraw.csv,0.73,0.08,0.98,0.01,0.57,0.3,0.0,0.24,0.46,0.32,0.48,0.14,0.74
patterntesting.csv,0.75,0.06,0.97,0.01,0.65,0.3,0.32,0.25,0.2,0.67,0.31,0.1,0.87
pokeglobal.csv,0.76,0.07,0.98,0.03,0.78,0.22,0.31,0.34,0.18,0.56,0.3,0.11,0.78
werx.csv,0.75,0.08,1.0,0.01,0.59,0.3,0.31,0.23,0.18,0.38,0.28,0.12,0.81
zealos.csv,0.84,0.0,1.0,0.0,1.0,0.5,0.48,0.32,0.18,0.56,0.6,0.0,0.89
