,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.81,0.52,0.79,0.55
jajuk.csv,0.2,0.57,0.61,0.59
vapor.csv,0.0,0.32,0.04,0.02
zorannt.csv,0.08,0.01,0.45,0.06
