,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,beast-mcmc.csv
apertium.csv,0.2,0.46,0.39,0.3,0.31,0.3,0.11,,0.25,0.33,0.15,0.38,0.14,0.31,0.16,0.29,0.27
beast-mcmc.csv,0.27,0.22,0.31,0.17,0.22,0.21,0.17,0.22,0.26,0.19,0.16,0.2,0.22,0.19,0.27,0.2,
bigdata.csv,0.28,0.35,0.45,0.25,0.28,0.37,0.43,0.27,0.32,0.35,0.22,,0.29,0.4,0.25,0.34,0.27
codesmith.csv,0.34,0.25,0.43,0.34,0.32,0.37,0.41,0.27,0.3,0.33,0.29,0.28,0.32,0.43,0.27,,0.26
cuberok.csv,0.17,0.23,0.17,0.32,0.21,,0.15,0.29,0.31,0.21,0.26,0.25,0.31,0.44,0.22,0.17,0.19
exist.csv,0.36,0.33,0.31,0.34,0.35,0.35,0.41,0.35,,0.35,0.29,0.23,0.32,0.44,0.31,0.36,0.3
icescrum.csv,0.16,0.21,0.17,0.13,0.2,0.16,0.19,0.25,0.25,0.27,0.16,0.17,0.18,0.12,,0.31,0.18
jbasic.csv,0.29,0.32,0.39,0.35,0.32,0.32,,0.4,0.34,0.21,0.34,0.21,0.23,0.44,0.31,0.27,0.3
jrefactory.csv,,0.44,0.33,0.18,0.29,0.28,0.39,0.37,0.17,0.27,0.18,0.27,0.32,0.27,0.29,0.36,0.32
jsecurity.csv,0.13,,0.15,0.14,0.23,0.16,0.37,0.36,0.26,0.15,0.19,0.21,0.23,0.44,0.31,0.3,0.16
libopenmetaverse.csv,0.34,0.4,0.2,,0.28,0.14,0.38,0.14,0.17,0.29,0.15,0.38,0.25,0.11,0.22,0.17,0.28
mobicents.csv,0.21,0.14,0.24,0.35,,0.37,0.36,0.29,0.34,0.35,0.28,0.29,0.29,0.44,0.31,0.23,0.23
opendvr.csv,0.24,0.15,0.25,0.34,0.21,0.3,0.25,0.2,0.28,0.27,0.32,0.32,0.14,,0.2,0.17,0.19
power-architect.csv,0.31,0.26,0.33,0.34,0.32,0.37,0.34,0.4,0.34,0.35,,0.33,0.32,0.44,0.31,0.36,0.3
sidekar.csv,0.37,0.46,,0.35,0.36,0.37,0.43,0.41,0.34,0.35,0.34,0.4,0.32,0.44,0.31,0.36,0.33
wheat.csv,0.21,0.21,0.16,0.31,0.22,0.14,0.26,0.27,0.31,,0.28,0.25,0.15,0.24,0.2,0.34,0.25
wsmt.csv,0.31,0.43,0.43,0.35,0.28,0.37,0.19,0.27,0.26,0.33,0.29,0.25,,0.41,0.31,0.21,0.29
