,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,beast-mcmc.csv
apertium.csv,1.0,207.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0
beast-mcmc.csv,0.0,10.0,1.0,0.0,0.0,7.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,
bigdata.csv,2.0,29.0,1.0,0.0,0.0,4.0,0.0,2.0,9.0,0.0,0.0,,0.0,0.0,1.0,0.0,8.0
codesmith.csv,0.0,19.0,1.0,0.0,0.0,3.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,,5.0
cuberok.csv,0.0,17.0,1.0,1.0,0.0,,0.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0
exist.csv,0.0,6.0,0.0,0.0,0.0,3.0,0.0,6.0,,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0
icescrum.csv,5.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,,0.0,2.0
jbasic.csv,0.0,10.0,0.0,0.0,0.0,9.0,,8.0,11.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,7.0
jrefactory.csv,,11.0,1.0,1.0,0.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,10.0
jsecurity.csv,2.0,,0.0,1.0,1.0,2.0,1.0,82.0,1.0,0.0,0.0,1.0,4.0,74.0,0.0,1.0,2.0
libopenmetaverse.csv,0.0,11.0,0.0,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0
mobicents.csv,2.0,3.0,0.0,0.0,,4.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0
opendvr.csv,4.0,5.0,5.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,,2.0,0.0,5.0
power-architect.csv,1.0,7.0,1.0,0.0,1.0,4.0,0.0,8.0,11.0,0.0,,0.0,1.0,0.0,3.0,0.0,5.0
sidekar.csv,88.0,207.0,,70.0,508.0,4.0,128.0,82.0,196.0,51.0,67.0,304.0,64.0,0.0,50.0,97.0,241.0
wheat.csv,4.0,6.0,1.0,5.0,1.0,1.0,0.0,2.0,6.0,,0.0,0.0,0.0,2.0,3.0,0.0,19.0
wsmt.csv,0.0,12.0,0.0,0.0,0.0,56.0,0.0,2.0,2.0,1.0,0.0,0.0,,74.0,50.0,0.0,17.0
