,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.22,0.29,0.7,0.05,0.6,0.07,0.24,0.0,0.18,0.11,0.44
freedom-erp.csv,0.12,0.04,0.05,0.02,0.0,0.02,0.0,0.31,0.9,0.0,0.41
haggle.csv,0.17,0.18,0.2,0.39,0.17,0.08,0.09,0.04,0.04,0.23,0.04
jchassis.csv,0.0,0.0,0.05,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0
jmoney.csv,0.2,0.39,0.1,0.15,0.8,0.3,0.03,0.1,0.43,0.14,0.04
jsidplay2.csv,0.49,0.41,0.2,0.49,0.67,0.25,0.23,0.99,0.55,0.29,0.63
madman.csv,0.02,0.33,0.55,0.1,0.53,0.08,0.25,0.21,0.18,0.35,0.89
matrex.csv,0.22,0.0,0.15,0.0,0.4,0.0,0.15,0.2,0.14,0.02,0.0
mediate.csv,0.27,0.14,0.1,0.17,0.43,0.07,0.77,0.53,0.02,0.52,0.11
primefaces.csv,0.83,0.98,0.6,1.0,0.87,1.0,0.52,0.23,1.0,0.67,0.22
tmva.csv,0.73,0.57,0.95,0.9,1.0,0.3,1.0,1.0,0.49,0.74,0.81
