,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.5,0.42,0.89,0.92,0.84,0.86,0.61,1.0,0.53,1.01,0.85
freedom-erp.csv,0.71,0.96,0.76,0.99,1.0,0.98,0.97,0.43,0.9,1.0,0.79
haggle.csv,0.92,0.76,0.82,0.55,0.84,0.96,1.0,1.0,0.88,1.03,0.8
jchassis.csv,1.0,1.0,1.0,1.0,0.9,1.0,0.96,1.0,1.0,0.08,1.0
jmoney.csv,0.22,0.45,0.65,0.68,0.81,0.71,0.82,0.7,0.45,1.01,0.83
jsidplay2.csv,0.53,0.78,0.26,0.81,0.72,0.6,0.42,0.99,0.83,1.04,0.9
madman.csv,0.9,0.62,0.82,0.67,0.78,0.78,0.67,0.48,0.22,1.06,0.96
matrex.csv,0.37,0.7,0.66,0.92,0.54,0.99,0.23,0.65,0.76,1.0,0.97
mediate.csv,0.75,0.79,0.89,0.7,0.55,0.81,0.84,0.7,0.88,0.52,0.78
primefaces.csv,0.83,0.98,0.63,1.0,0.87,1.0,0.53,0.62,1.0,0.83,0.3
tmva.csv,0.83,0.75,0.95,0.91,1.0,0.4,1.0,1.0,0.7,1.25,0.82
