,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.95,0.76,0.52,0.64,0.56,0.75,0.53,0.65,0.86,0.75,0.71,0.9
bscwweasel.csv,0.99,0.86,0.53,0.44,0.54,0.62,0.79,0.69,0.61,0.7,0.71,0.84
capcode.csv,0.98,0.8,0.75,0.77,0.67,0.37,0.69,0.76,0.55,0.66,0.47,0.79
emite.csv,0.51,0.89,0.65,0.81,0.7,0.94,0.95,0.93,0.87,0.82,1.0,0.41
lamp.csv,0.85,0.4,0.67,0.68,0.91,0.75,0.85,0.61,0.59,0.55,0.93,0.82
mecat.csv,0.91,0.93,0.95,1.0,0.81,0.85,1.0,0.91,1.0,0.75,0.12,1.0
nodal.csv,0.99,0.73,0.58,0.57,0.96,0.59,0.99,0.82,0.47,0.53,1.04,0.82
pydev.csv,0.8,0.55,0.59,0.58,0.55,0.69,0.84,0.74,0.66,0.46,0.63,0.78
retromenu.csv,0.98,0.59,0.77,0.71,0.29,0.87,0.68,0.86,0.77,0.92,1.08,0.75
smbopensoft.csv,0.28,0.97,0.93,0.82,0.93,0.73,0.69,0.83,0.5,0.81,1.07,0.8
stuproa-cims.csv,1.0,0.93,0.6,0.66,0.59,0.76,0.98,0.44,0.72,0.72,0.7,0.82
thout.csv,0.68,0.99,0.4,0.67,0.81,0.94,1.0,0.91,0.98,0.75,0.93,0.93
