,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.6,0.53,1.04,0.72,0.49,0.57,0.61,0.6,0.48,0.67
jmule.csv,0.61,0.6,0.98,0.88,0.67,0.5,0.61,0.77,0.69,0.22
nosleepsoftware.csv,0.81,0.93,0.33,1.0,0.93,0.94,0.98,0.89,1.01,0.67
open-ms.csv,0.43,0.63,0.34,0.84,0.86,0.66,0.51,0.55,0.58,0.78
qgo.csv,0.2,0.76,0.69,0.66,0.45,0.64,0.66,0.74,0.86,0.9
rezilla.csv,0.67,0.94,0.81,0.44,0.84,0.72,0.62,0.77,0.88,0.56
riff-evolve.csv,0.55,0.61,1.06,0.85,0.46,0.41,0.6,0.55,0.38,1.0
uwom.csv,0.54,0.94,1.13,0.66,0.59,0.71,0.93,0.65,0.3,0.51
virtuoso.csv,0.8,0.97,0.98,0.7,0.96,0.91,0.46,0.97,0.86,0.97
yield.csv,0.63,0.54,0.65,0.8,0.34,0.99,0.66,0.72,0.47,0.8
