,id,count_recall,count_precision,count_pf,cdom_score,bellwether
53,2,1,2,2,1,mclient-mume.csv
48,3,3,2,3,6,open-media-library.csv
46,4,1,11,19,18,mevenide.csv
54,5,2,3,4,5,l2j.csv
21,6,1,13,19,18,forester-atv.csv
16,7,1,4,15,14,jbpm.csv
25,8,5,4,9,11,jsidplay2.csv
14,9,3,0,1,4,jgnash.csv
15,11,1,0,1,0,atunes.csv
49,12,1,0,2,2,columba.csv
55,14,2,2,1,2,amanda.csv
47,15,4,5,8,11,archive-crawler.csv
18,16,4,3,8,10,openmeetings.csv
23,17,0,5,9,8,jfreereport.csv
13,18,0,3,4,6,quarkplusplus.csv
24,19,2,1,1,2,lmms.csv
12,20,1,1,4,3,foursquared.csv
26,21,4,7,11,14,growl-for-windows.csv
56,22,1,10,17,16,fm-classic.csv
45,23,4,2,4,5,aztec.csv
22,28,2,2,6,5,h2database.csv
17,29,1,1,2,3,hibernate.csv
36,30,1,10,12,15,amygdala.csv
31,31,1,7,13,12,mediaportal.csv
5,32,2,10,12,17,geogebra.csv
11,34,1,5,11,11,quark.csv
6,35,1,4,8,8,ftm.csv
30,36,0,8,16,17,omseek.csv
37,37,3,9,15,18,acdk.csv
29,38,1,5,7,7,ardour.csv
38,39,1,2,4,5,olap-navigator.csv
51,40,4,4,6,14,pamguard.csv
43,41,1,3,8,6,rtb-team.csv
19,42,2,4,16,16,jcae.csv
28,43,2,3,9,9,adaptagrams.csv
27,44,1,13,18,18,genoviz.csv
20,45,4,10,18,18,etics.csv
42,46,2,2,6,9,jstock.csv
52,47,3,5,9,15,open-ms.csv
44,48,1,6,14,13,nassp.csv
50,49,1,2,4,3,tolven.csv
3,50,0,2,6,5,autat.csv
8,51,2,7,13,12,kftpgrabber.csv
35,53,1,7,13,12,mvdsv.csv
34,54,4,1,6,11,powerfolder-.csv
39,55,2,9,16,16,alembik.csv
7,56,0,2,6,6,jvcl.csv
4,57,2,1,5,8,ossim.csv
9,58,5,6,13,18,tokratan.csv
1,59,0,2,4,4,miranda-icq.csv
10,60,2,4,10,9,wxcode.csv
0,61,3,6,8,10,orc.csv
33,62,2,9,17,17,ibatisdb.csv
40,63,1,2,6,6,jrdf.csv
41,64,5,1,7,12,psrchive.csv
32,65,1,0,1,1,poormans.csv
2,66,2,6,11,12,oorexx.csv
