,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.62,0.49,0.56,0.73,0.29,0.67,0.63,0.54,0.57,0.38,0.58,0.37,0.6,0.39,0.32,0.71
biodwh.csv,0.33,0.28,0.43,0.48,0.32,0.24,0.48,0.4,0.39,0.14,0.59,0.35,0.55,0.35,0.61,0.72
blue-c.csv,0.53,0.58,0.52,0.7,0.26,0.79,0.62,0.68,0.52,0.44,0.57,0.36,0.58,0.34,0.29,0.6
cities3d.csv,0.61,0.32,0.48,0.0,0.29,0.6,0.57,0.55,0.36,0.07,0.51,0.0,0.5,0.36,0.3,0.75
firebird.csv,0.6,0.61,0.56,0.72,0.2,0.65,0.56,0.62,0.61,0.48,0.56,0.34,0.59,0.35,0.25,0.62
jcache.csv,0.69,0.68,0.48,0.7,0.16,0.69,0.5,0.71,0.6,0.57,0.2,0.38,0.57,0.34,0.31,0.89
jparsec.csv,0.33,0.6,0.42,0.62,0.15,0.43,0.52,0.6,0.58,0.54,0.71,0.29,0.49,0.3,0.24,0.72
mscore.csv,0.59,0.62,0.53,0.67,0.23,0.78,0.62,0.73,0.56,0.68,0.56,0.36,0.52,0.32,0.23,0.6
nabu-library.csv,0.15,0.66,0.35,0.27,0.09,0.42,0.39,0.45,0.52,0.84,0.4,0.32,0.52,0.16,0.0,0.41
ns-3-dev-def-routing.csv,0.58,0.53,0.52,0.72,0.24,0.79,0.67,0.57,0.5,0.31,0.59,0.38,0.56,0.36,0.3,0.67
open-ms.csv,0.65,0.65,0.44,0.43,0.18,0.6,0.51,0.62,0.47,0.17,0.29,0.4,0.49,0.38,0.37,0.69
popeye-chess.csv,0.62,0.52,0.49,0.65,0.3,0.65,0.66,0.68,0.42,0.37,0.53,0.32,0.53,0.34,0.19,0.72
qgo.csv,0.87,0.67,0.58,0.64,0.16,0.63,0.59,0.75,0.62,0.69,0.64,0.32,0.54,0.36,0.29,0.81
webdriver.csv,0.67,0.66,0.51,0.74,0.23,0.77,0.73,0.64,0.5,0.41,0.46,0.41,0.54,0.37,0.21,0.67
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.5,0.0,0.0,0.0,0.74
yafdotnet.csv,0.67,0.63,0.52,0.66,0.17,0.74,0.56,0.66,0.69,0.66,0.56,0.34,0.49,0.37,0.32,0.75
