,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.22,0.32,0.32,0.12,0.32,0.5,0.72,0.31,0.05,0.08,0.28,0.93,0.64,0.69,0.39,0.7,0.52
dynalloy.csv,0.1,0.17,0.66,0.07,0.0,0.32,0.61,0.11,0.16,0.08,0.19,0.79,0.45,0.48,0.29,0.6,0.44
enzo.csv,0.14,0.25,0.38,0.1,0.29,0.38,0.5,0.19,0.07,0.07,0.25,0.92,0.4,0.45,0.22,0.68,0.41
hydrogen.csv,0.22,0.19,0.36,0.1,0.25,0.0,0.49,0.44,0.13,0.07,0.23,0.8,0.39,0.45,0.22,0.61,0.54
jcae.csv,0.0,0.31,0.35,0.3,0.07,0.36,0.86,0.56,0.0,0.06,0.58,1.0,1.0,0.6,0.39,0.8,0.0
kmatplot.csv,0.4,0.44,0.35,0.15,0.21,0.44,0.75,0.35,0.12,0.0,0.23,0.0,0.49,0.46,0.23,0.8,0.74
lphant.csv,0.2,0.33,0.36,0.11,0.27,0.67,0.54,0.27,0.05,0.06,0.27,0.94,0.65,0.59,0.36,0.65,0.55
natpad.csv,0.22,0.34,0.38,0.1,0.25,0.37,0.51,0.27,0.07,0.07,0.24,0.73,0.78,0.67,0.33,0.61,0.61
nosleepsoftware.csv,0.35,0.5,0.0,0.0,0.52,0.0,0.28,0.0,1.0,0.0,0.0,0.91,0.67,0.47,0.26,1.0,0.23
ossbuild.csv,0.07,0.2,0.5,0.4,0.0,0.42,0.61,0.22,0.32,0.08,0.45,0.88,0.45,0.49,0.35,0.71,0.5
quarkplayer.csv,0.22,0.23,1.0,0.08,0.0,0.33,0.62,0.06,0.1,0.15,0.14,0.72,0.22,0.61,0.0,0.38,0.4
quickfast.csv,0.13,0.24,0.34,0.12,0.32,0.57,0.58,0.19,0.1,0.07,0.38,0.8,0.44,0.44,0.31,0.84,0.41
rezilla.csv,0.1,0.2,0.16,0.13,0.31,0.54,0.33,0.21,0.08,0.0,0.23,1.0,0.23,0.36,0.22,0.63,0.21
rhex.csv,0.32,0.33,0.38,0.08,0.5,0.6,0.71,0.38,0.04,0.04,0.19,0.93,1.0,0.4,0.31,0.7,0.56
rocrail.csv,0.27,0.27,0.41,0.09,0.37,0.71,0.7,0.41,0.05,0.08,0.3,0.92,0.47,0.79,0.51,0.82,0.52
virtuoso.csv,0.13,0.2,0.36,0.1,0.25,0.33,0.48,0.14,0.08,0.06,0.43,0.8,0.4,0.44,0.22,0.77,0.46
yield.csv,0.14,0.3,0.45,0.1,0.29,0.5,0.77,0.22,0.1,0.1,0.29,0.89,0.47,0.56,0.3,0.69,0.53
