,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.61,0.46,0.2,0.17,0.27,0.22,0.4,0.25,0.31,0.35,0.3
etherboot.csv,0.0,0.05,0.5,0.61,0.0,0.21,0.17,0.64,0.0,0.0,0.0
ffigo.csv,0.0,0.24,0.2,0.17,0.21,0.1,0.33,0.43,0.74,0.5,0.29
gebr.csv,0.67,0.63,0.27,0.38,0.41,0.72,0.48,0.09,0.21,0.17,0.13
gpac.csv,0.23,0.38,0.26,0.27,0.64,0.05,0.1,0.42,0.41,0.27,0.13
libtorrent.csv,0.0,0.65,0.65,0.43,0.59,0.66,0.76,0.64,0.62,0.45,0.55
miranda.csv,0.0,0.0,0.46,0.63,0.05,0.0,0.67,0.11,0.0,0.15,0.71
modellus.csv,0.23,0.41,0.63,0.58,0.63,0.55,0.46,0.78,0.5,0.17,0.51
mplayer-ce.csv,0.61,0.7,0.64,0.35,0.55,0.55,0.72,0.57,0.64,0.58,0.63
nicepress.csv,0.57,0.5,0.75,0.47,0.23,0.58,0.5,0.5,0.44,0.21,0.49
vapor.csv,0.0,0.58,0.0,0.37,0.0,0.0,0.72,0.26,0.45,0.0,0.0
