,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.19,0.33,0.22,0.16,0.32,0.31,0.51,0.31,0.36,0.39,0.36
etherboot.csv,0.13,0.06,0.41,0.48,0.0,0.83,0.24,0.64,0.0,0.0,0.0
ffigo.csv,0.0,0.24,0.2,0.17,0.26,0.15,0.43,0.45,0.78,0.48,0.37
gebr.csv,0.16,0.45,0.51,0.45,0.69,0.79,0.87,0.67,0.76,0.62,0.79
gpac.csv,0.08,0.26,0.26,0.28,0.67,0.08,0.15,0.42,0.63,0.59,0.78
libtorrent.csv,0.13,0.46,0.54,0.39,0.69,0.76,0.86,0.69,0.68,0.6,0.71
miranda.csv,0.0,0.0,0.43,0.44,0.07,0.0,0.79,0.16,0.78,0.19,0.77
modellus.csv,0.09,0.39,0.53,0.39,0.67,0.65,0.58,0.78,0.58,0.62,0.8
mplayer-ce.csv,0.18,0.48,0.53,0.41,0.59,0.64,0.84,0.66,0.7,0.56,0.7
nicepress.csv,0.16,0.38,0.68,0.38,0.65,0.76,0.62,0.5,0.7,0.61,0.78
vapor.csv,0.13,0.47,0.51,0.42,0.0,0.84,0.82,0.59,0.53,0.0,0.0
