,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.4,0.43,0.47,0.55,0.42,0.58,0.57,0.49,0.5,0.48,0.36,0.81,0.35,0.32,0.35,0.39,0.54,0.35
cornerstone.csv,0.56,0.91,0.97,0.95,0.55,0.84,0.8,0.81,0.88,0.0,0.42,0.47,0.66,0.45,0.92,0.6,0.83,0.83
emeraldemu.csv,0.48,0.57,0.47,0.49,0.86,0.68,0.67,0.52,0.97,0.52,0.41,0.75,0.85,0.0,0.51,0.48,0.92,0.58
grafx2.csv,0.38,0.49,0.53,0.75,0.7,0.71,0.56,0.57,0.76,0.59,0.36,0.48,0.39,0.39,0.36,0.44,0.8,0.48
jahshakafx.csv,0.34,0.43,0.4,0.4,0.41,0.76,0.5,0.41,0.47,0.48,0.36,0.86,0.4,0.29,0.32,0.36,0.5,0.33
maya-work-in-progress.csv,0.45,0.45,0.39,0.41,0.42,0.43,0.3,0.35,0.37,0.44,0.31,0.36,0.32,0.31,0.39,0.34,0.41,0.33
novembre.csv,0.54,0.51,0.96,0.87,0.78,0.63,0.56,0.58,0.42,0.59,0.44,0.47,0.97,0.45,0.47,0.52,0.61,0.62
ns-3.csv,0.43,0.41,0.65,0.51,0.5,0.43,0.35,0.46,0.45,0.55,0.49,0.4,0.34,0.58,0.43,0.36,0.47,0.35
nullc.csv,0.49,0.51,0.41,0.56,0.49,0.51,0.41,0.45,0.62,0.75,0.42,0.55,0.4,0.48,0.46,0.4,0.5,0.44
open-beos.csv,0.39,0.41,0.57,0.5,0.43,0.5,0.39,0.38,0.47,0.82,0.57,0.38,0.35,0.4,0.37,0.38,0.41,0.34
pixel-commandos.csv,0.86,0.66,0.99,0.73,0.86,0.97,0.88,0.98,0.95,0.75,0.9,0.5,0.94,0.81,0.61,0.86,0.89,0.94
planeshift.csv,0.49,0.46,0.4,0.53,0.51,0.44,0.39,0.39,0.39,0.42,0.43,0.38,0.37,0.36,0.42,0.36,0.51,0.33
plee-the-bear.csv,0.36,0.63,0.51,0.8,0.47,0.45,0.37,0.37,0.38,0.48,0.38,0.41,0.38,0.53,0.41,0.42,0.39,0.33
reaper-ecad.csv,0.96,0.99,0.67,0.57,0.86,0.8,0.0,0.97,0.89,0.0,0.9,0.0,0.9,0.0,0.5,0.86,0.0,0.0
sbml.csv,0.38,0.41,0.45,0.47,0.44,0.41,0.36,0.34,0.45,0.5,0.36,0.36,0.33,0.46,0.38,0.36,0.39,0.8
unimrcp.csv,0.38,0.5,0.49,0.6,0.45,0.43,0.36,0.46,0.49,0.47,0.35,0.43,0.39,0.4,0.46,0.38,0.5,0.38
unladen-swallow.csv,0.97,0.6,0.7,0.88,0.78,0.52,0.38,0.56,0.57,0.6,0.93,0.41,0.48,0.43,0.93,0.44,0.5,0.91
zxing.csv,0.41,0.46,0.46,0.5,0.44,0.58,0.53,0.52,0.73,0.88,0.54,0.0,0.39,0.62,0.47,0.39,0.47,0.39
