,precision
guineu.csv,0.56
campsoft.csv,0.07
gtad.csv,0.1
rhex.csv,0.36
owlib.csv,0.55
ktc.csv,0.71
jedit.csv,0.69
net-snmp.csv,0.51
encog-java.csv,0.17
umber.csv,0.5
jahshakafx.csv,0.49
jahshaka.csv,0.56
selenium.csv,0.81
paintown.csv,1.0
h2database.csv,0.26
x4x.csv,0.78
elmo.csv,0.09
jmoney.csv,0.71
google-collections.csv,1.0
baadengine.csv,0.8
raven-monitoring.csv,0.36
smbopensoft.csv,0.47
xharbour.csv,0.86
flylinkdc.csv,0.51
reactos-mirror.csv,0.51
qpe.csv,0.2
xbrlapi.csv,0.53
prelude.csv,1.0
neoengine.csv,0.61
atunes.csv,0.09
avifile.csv,0.0
lamp.csv,0.29
logicmail.csv,0.81
wgs-assembler.csv,0.36
plearn.csv,0.48
werx.csv,0.98
plog4u.csv,0.0
openwbem.csv,0.49
qgo.csv,0.62
jaql.csv,0.58
kmatplot.csv,0.31
pclasses.csv,0.25
agilitybook.csv,0.21
triplea.csv,0.92
raygina.csv,0.62
wpdev.csv,1.0
owfs.csv,0.25
olap-navigator.csv,1.0
pokeglobal.csv,0.67
nova.csv,1.0
sauerbraten.csv,0.81
graphmak.csv,0.4
jgameai.csv,0.3
gpsmid.csv,0.86
empyrean.csv,0.74
awemud.csv,0.91
crisscross.csv,0.24
re2c.csv,0.18
tzod.csv,0.56
octave.csv,0.13
adaptagrams.csv,0.61
open-media-library.csv,0.59
vdsf.csv,0.16
orc.csv,0.21
lazarus-ccr.csv,0.5
n2cms.csv,0.55
forester-atv.csv,0.43
mob-sen-plat.csv,1.0
nh3d.csv,0.01
amanda.csv,0.69
