,f1
guineu.csv,0.29
campsoft.csv,0.13
gtad.csv,0.18
rhex.csv,0.35
owlib.csv,0.54
ktc.csv,0.66
jedit.csv,0.5
net-snmp.csv,0.58
encog-java.csv,0.24
umber.csv,0.63
jahshakafx.csv,0.62
jahshaka.csv,0.5
selenium.csv,0.49
paintown.csv,0.38
h2database.csv,0.34
x4x.csv,0.76
elmo.csv,0.13
jmoney.csv,0.37
google-collections.csv,0.42
baadengine.csv,0.29
raven-monitoring.csv,0.3
smbopensoft.csv,0.47
xharbour.csv,0.87
flylinkdc.csv,0.53
reactos-mirror.csv,0.58
qpe.csv,0.3
xbrlapi.csv,0.46
prelude.csv,0.09
neoengine.csv,0.56
atunes.csv,0.15
avifile.csv,0.0
lamp.csv,0.29
logicmail.csv,0.73
wgs-assembler.csv,0.48
plearn.csv,0.43
werx.csv,0.77
plog4u.csv,0.0
openwbem.csv,0.55
qgo.csv,0.51
jaql.csv,0.65
kmatplot.csv,0.4
pclasses.csv,0.21
agilitybook.csv,0.31
triplea.csv,0.5
raygina.csv,0.42
wpdev.csv,0.67
owfs.csv,0.36
olap-navigator.csv,0.39
pokeglobal.csv,0.74
nova.csv,0.14
sauerbraten.csv,0.47
graphmak.csv,0.4
jgameai.csv,0.17
gpsmid.csv,0.51
empyrean.csv,0.5
awemud.csv,0.4
crisscross.csv,0.28
re2c.csv,0.24
tzod.csv,0.44
octave.csv,0.11
adaptagrams.csv,0.75
open-media-library.csv,0.42
vdsf.csv,0.25
orc.csv,0.34
lazarus-ccr.csv,0.33
n2cms.csv,0.44
forester-atv.csv,0.44
mob-sen-plat.csv,0.22
nh3d.csv,0.03
amanda.csv,0.62
