,g-score
guineu.csv,0.23
campsoft.csv,0.97
gtad.csv,0.94
rhex.csv,0.38
owlib.csv,0.56
ktc.csv,0.65
jedit.csv,0.44
net-snmp.csv,0.62
encog-java.csv,0.48
umber.csv,0.81
jahshakafx.csv,0.79
jahshaka.csv,0.5
selenium.csv,0.4
paintown.csv,0.28
h2database.csv,0.55
x4x.csv,0.53
elmo.csv,0.24
jmoney.csv,0.29
google-collections.csv,0.31
baadengine.csv,0.21
raven-monitoring.csv,0.3
smbopensoft.csv,0.47
xharbour.csv,0.66
flylinkdc.csv,0.58
reactos-mirror.csv,0.64
qpe.csv,0.6
xbrlapi.csv,0.43
prelude.csv,0.06
neoengine.csv,0.57
atunes.csv,0.78
avifile.csv,0.0
lamp.csv,0.34
logicmail.csv,0.68
wgs-assembler.csv,0.56
plearn.csv,0.44
werx.csv,0.48
plog4u.csv,0.0
openwbem.csv,0.64
qgo.csv,0.47
jaql.csv,0.74
kmatplot.csv,0.58
pclasses.csv,0.21
agilitybook.csv,0.62
triplea.csv,0.39
raygina.csv,0.37
wpdev.csv,0.56
owfs.csv,0.63
olap-navigator.csv,0.29
pokeglobal.csv,0.69
nova.csv,0.1
sauerbraten.csv,0.38
graphmak.csv,0.44
jgameai.csv,0.15
gpsmid.csv,0.42
empyrean.csv,0.42
awemud.csv,0.3
crisscross.csv,0.37
re2c.csv,0.37
tzod.csv,0.42
octave.csv,0.11
adaptagrams.csv,0.69
open-media-library.csv,0.36
vdsf.csv,0.65
orc.csv,0.77
lazarus-ccr.csv,0.29
n2cms.csv,0.42
forester-atv.csv,0.48
mob-sen-plat.csv,0.15
nh3d.csv,0.57
amanda.csv,0.59
