,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.43,0.39,0.4,0.56,0.24,0.35,0.01,0.87,0.68,0.54,0.29,0.16,0.39,0.79,0.6,0.31,0.48,0.12,0.53,0.39
doomlegacy.csv,0.49,0.58,0.44,0.44,0.47,0.39,0.22,0.66,0.5,0.28,0.62,0.24,0.58,0.53,0.12,0.0,0.39,0.43,0.48,0.63
elmo.csv,0.04,0.0,0.02,0.04,0.03,0.06,0.03,0.0,0.01,0.03,0.01,0.08,0.04,0.05,0.04,0.0,0.01,0.07,0.05,0.02
enzo.csv,0.9,0.67,0.9,0.78,0.74,0.7,0.75,0.87,0.85,0.69,0.77,0.73,0.71,0.95,0.04,0.92,0.94,0.89,0.76,0.83
gpac.csv,0.3,0.24,0.29,0.48,0.2,0.52,0.47,0.0,0.32,0.54,0.33,0.27,0.27,0.32,0.12,0.38,0.39,0.12,0.3,0.39
img-browse-sort.csv,0.12,0.4,0.08,0.22,0.09,0.04,0.3,0.47,0.48,0.18,0.01,0.0,0.15,0.0,0.0,0.08,0.5,0.0,0.1,0.17
ktc.csv,0.01,0.18,0.2,0.0,0.08,0.06,0.22,0.26,0.07,0.49,0.09,0.11,0.15,0.53,0.08,0.27,0.11,0.04,0.17,0.22
neoengine.csv,0.35,1.0,0.01,0.3,0.33,0.38,0.2,0.96,0.85,0.56,0.44,0.3,0.53,0.61,0.28,0.62,0.96,0.27,0.47,0.46
nicepress.csv,0.15,0.54,0.26,0.04,0.23,0.0,0.23,0.4,0.45,0.33,0.22,0.16,0.28,0.32,0.08,0.31,0.16,0.09,0.33,0.28
open-ms.csv,0.21,0.31,0.29,0.67,0.24,0.52,0.23,0.11,0.56,0.92,0.26,0.59,0.43,0.11,0.08,0.31,0.14,0.21,0.0,0.11
pcsx2.csv,0.24,0.93,0.31,0.15,0.36,0.3,0.37,0.85,0.84,0.44,0.4,0.38,0.01,0.34,0.48,0.35,0.94,0.27,0.36,0.39
pi-qmc.csv,0.21,0.36,0.47,0.33,0.21,0.25,0.2,0.64,0.27,0.23,0.1,0.11,0.49,0.29,0.16,0.31,0.26,0.02,0.32,0.35
rosegarden.csv,0.12,0.25,0.35,0.33,0.0,0.16,0.13,0.19,0.22,0.28,0.13,0.24,0.38,0.24,0.28,0.38,0.27,0.12,0.36,0.3
salasaga.csv,0.88,0.99,0.88,1.0,0.85,0.86,0.9,0.57,0.77,0.64,0.83,0.95,0.95,0.97,0.84,1.0,0.0,0.96,0.9,0.85
sigil.csv,0.34,0.36,0.25,0.33,0.25,0.36,0.27,0.32,0.17,0.54,0.46,0.05,0.27,0.39,0.08,0.08,0.43,0.12,0.3,0.33
skia.csv,0.14,0.15,0.2,0.04,0.18,0.1,0.32,0.34,0.31,0.08,0.09,0.08,0.2,0.37,0.04,0.31,0.25,0.09,0.27,0.0
smarttag.csv,0.2,0.66,0.13,0.26,0.13,0.07,0.24,0.47,0.32,0.0,0.28,0.05,0.16,0.11,0.0,0.19,0.18,0.0,0.18,0.26
sylpheed-claws.csv,0.26,0.37,0.31,0.3,0.22,0.28,0.25,0.55,0.02,0.64,0.31,0.16,0.39,0.37,0.12,0.35,0.23,0.11,0.32,0.43
xemeiah.csv,0.18,0.3,0.21,0.15,0.17,0.22,0.1,0.53,0.62,0.18,0.0,0.16,0.38,0.13,0.28,0.27,0.38,0.07,0.31,0.33
zscreen.csv,0.33,0.37,0.26,0.0,0.47,0.42,0.54,0.79,0.42,0.64,0.51,0.24,0.52,0.58,0.88,0.5,0.8,0.23,0.49,0.63
